time stock-price avg-price-5-min avg-price-10-5-min avg-vol-10-min avg-vol-20-10-min number-of-stocks portfolio-value 
771 214.64 214.39899999999997 213.488 490.9 309.3 0 29586.5
772 214.66 214.52100000000002 213.632 551.0 299.3 0 29586.5
773 214.9 214.68099999999998 213.79199999999997 551.3 193.1 0 29586.5
774 214.61 214.72200000000004 213.99100000000004 645.3 185.9 0 29586.5
775 214.54 214.67 214.219 615.3 188.0 0 29586.5
776 214.55 214.652 214.39899999999997 653.6 180.2 0 29586.5
777 214.55 214.652 214.39899999999997 653.6 180.2 0 29586.5
778 214.43 214.606 214.52100000000002 640.0 205.2 0 29586.5
779 214.11 214.44800000000004 214.68099999999998 585.0 284.4 25 29586.5
780 214.23 214.37199999999999 214.72200000000004 523.0 394.9 50 29589.5
781 214 214.26400000000004 214.67 477.0 470.9 75 29578.0
782 213.86 214.12600000000003 214.652 510.5 490.9 100 29567.5
783 213.73 213.98600000000002 214.606 480.4 551.0 100 29554.5
784 213.81 213.92600000000002 214.44800000000004 470.7 551.3 100 29562.5
785 213.81 213.92600000000002 214.44800000000004 470.7 551.3 100 29562.5
786 214 213.88000000000002 214.37199999999999 340.7 645.3 100 29581.5
787 214.39 213.958 214.26400000000004 351.7 615.3 100 29620.5
788 214.42 214.07 214.12600000000003 302.7 653.6 0 29623.5
789 214.13 214.15 213.98600000000002 294.6 640.0 0 29623.5
790 213.85 214.158 213.92600000000002 290.1 585.0 0 29623.5
791 213 213.958 213.88000000000002 281.1 523.0 0 29623.5
792 213.05 213.69 213.958 261.1 477.0 0 29623.5
793 213.21 213.448 214.07 187.6 510.5 0 29623.5
794 213.21 213.448 214.07 187.6 510.5 0 29623.5
795 212.89 213.2 214.15 179.9 480.4 0 29623.5
796 212.86 213.002 214.158 210.0 470.7 0 29623.5
797 212.95 212.99200000000002 213.958 220.7 340.7 0 29623.5
798 213.03 212.988 213.69 209.7 351.7 0 29623.5
799 212.92 212.93 213.448 228.2 302.7 0 29623.5
800 213.04 212.95999999999998 213.2 314.2 294.6 0 29623.5
801 213.04 212.95999999999998 213.2 314.2 294.6 0 29623.5
802 212.89 212.96599999999998 213.002 419.2 290.1 0 29623.5
803 213.03 212.98200000000003 212.99200000000002 398.7 281.1 0 29623.5
804 213.03 212.98200000000003 212.99200000000002 398.7 281.1 0 29623.5
805 213.09 212.99399999999997 212.988 428.7 261.1 0 29623.5
806 213.26 213.06199999999998 212.93 448.8 187.6 0 29623.5
807 213.26 213.06199999999998 212.93 448.8 187.6 0 29623.5
808 213.2 213.094 212.95999999999998 426.5 179.9 0 29623.5
809 213.35 213.18599999999998 212.96599999999998 435.4 210.0 0 29623.5
810 213.29 213.238 212.98200000000003 424.7 220.7 0 29623.5
811 212.95 213.20999999999998 212.99399999999997 444.7 209.7 0 29623.5
812 212.95 213.20999999999998 212.99399999999997 444.7 209.7 0 29623.5
813 213 213.158 213.06199999999998 425.1 228.2 0 29623.5
814 212.89 213.096 213.094 345.8 314.2 0 29623.5
815 212.55 212.936 213.18599999999998 288.4 419.2 0 29623.5
816 212.56 212.78999999999996 213.238 307.9 398.7 0 29623.5
817 212.43 212.686 213.20999999999998 277.9 428.7 0 29623.5
818 212.25 212.536 213.158 285.3 448.8 0 29623.5
819 212.5 212.458 213.096 301.1 426.5 0 29623.5
820 212.22 212.392 212.936 301.8 435.4 0 29623.5
821 212.12 212.304 212.78999999999996 311.8 424.7 0 29623.5
822 212.06 212.23000000000002 212.686 285.0 444.7 0 29623.5
823 211.91 212.16200000000003 212.536 320.1 425.1 0 29623.5
824 211.855 212.033 212.458 311.0 345.8 0 29623.5
825 212.13 212.01500000000001 212.392 260.4 288.4 0 29623.5
826 212.3 212.05100000000002 212.304 250.4 307.9 0 29623.5
827 212.045 212.048 212.23000000000002 262.3 277.9 0 29623.5
828 211.78 212.02200000000002 212.16200000000003 255.0 285.3 0 29623.5
829 211.53 211.95700000000002 212.033 239.7 301.1 0 29623.5
830 211.44 211.81900000000002 212.01500000000001 274.0 301.8 0 29623.5
831 211.63 211.68500000000003 212.05100000000002 264.0 311.8 0 29623.5
832 211.78 211.632 212.048 282.8 285.0 0 29623.5
833 211.65 211.606 212.02200000000002 269.4 320.1 0 29623.5
834 211.815 211.663 211.95700000000002 260.5 311.0 0 29623.5
835 211.815 211.663 211.95700000000002 260.5 311.0 0 29623.5
836 211.835 211.74200000000002 211.81900000000002 263.0 260.4 0 29623.5
837 212.23 211.862 211.68500000000003 253.1 250.4 0 29623.5
838 212.15 211.936 211.632 222.0 262.3 0 29623.5
839 212.36 212.07799999999997 211.606 285.1 255.0 0 29623.5
840 212.17 212.14900000000003 211.663 299.6 239.7 0 29623.5
841 212.28 212.238 211.74200000000002 225.5 274.0 0 29623.5
842 212.32 212.256 211.862 225.5 274.0 0 29623.5
843 211.94 212.17999999999998 211.862 248.5 264.0 0 29623.5
844 211.71 212.092 211.936 256.5 282.8 0 29623.5
845 211.42 211.904 212.07799999999997 254.4 269.4 0 29623.5
846 211.42 211.904 212.07799999999997 254.4 269.4 0 29623.5
847 211.54 211.77800000000002 212.14900000000003 262.4 260.5 25 29623.5
848 211.28 211.57799999999997 212.238 262.7 263.0 25 29617.0
849 210.83 211.356 212.17999999999998 295.7 253.1 50 29605.75
850 210.83 211.18 212.092 323.0 222.0 75 29605.75
851 210.96 211.08800000000002 211.904 274.7 285.1 75 29615.5
852 210.87 210.954 211.77800000000002 259.7 299.6 75 29608.75
853 210.87 210.954 211.786 259.7 299.6 75 29608.75
854 210.93 210.88400000000001 211.57799999999997 283.5 225.5 100 29613.25
855 210.92 210.90200000000004 211.356 280.8 256.5 0 29612.25
856 211.12 210.95999999999998 211.18 271.9 264.4 0 29612.25
857 210.85 210.93800000000002 211.08800000000002 263.0 282.4 0 29612.25
858 210.995 210.96300000000002 210.954 265.3 272.4 0 29612.25
859 210.99 210.975 210.88400000000001 255.0 272.6 0 29612.25
860 210.73 210.93699999999998 210.90200000000004 279.3 314.9 0 29612.25
861 209.86 210.68500000000003 210.95999999999998 478.3 259.7 25 29612.25
862 209.98 210.51100000000002 210.93800000000002 479.9 279.7 50 29615.25
863 209.31 210.17400000000004 210.96300000000002 699.9 259.7 75 29581.75
864 209.16 209.80800000000005 210.975 856.4 283.5 100 29570.5
865 209.32 209.526 210.93699999999998 948.7 280.8 125 29586.5
866 209.89 209.53199999999998 210.68500000000003 1047.7 271.9 150 29657.749999999996
867 209.84 209.504 210.51100000000002 1069.1 263.0 175 29650.25
868 209.87 209.61599999999999 210.17400000000004 1136.8 265.3 0 29655.5
869 209.87 209.61599999999999 210.17400000000004 1136.8 265.3 0 29655.5
870 209.83 209.75 209.80800000000005 1181.2 255.0 0 29655.5
871 209.75 209.836 209.526 1136.6 279.3 0 29655.5
872 209.75 209.836 209.526 1136.6 279.3 0 29655.5
873 209.47 209.752 209.53199999999998 1012.7 478.3 0 29655.5
874 209.37 209.658 209.504 1007.2 479.9 0 29655.5
875 209.34 209.552 209.61599999999999 824.3 699.9 25 29655.5
876 209.47 209.48000000000002 209.75 673.8 856.4 25 29658.75
877 209.57 209.44400000000002 209.836 612.0 948.7 25 29661.25
878 209.72 209.494 209.752 501.9 1047.7 0 29665.0
879 209.9 209.6 209.658 592.0 1069.1 0 29665.0
880 209.9 209.6 209.658 592.0 1069.1 0 29665.0
881 209.89 209.70999999999998 209.552 585.0 1136.8 0 29665.0
882 209.95 209.80599999999998 209.48000000000002 560.6 1181.2 0 29665.0
883 209.95 209.882 209.44400000000002 547.8 1136.6 0 29665.0
884 209.66 209.87000000000003 209.494 464.8 1012.7 0 29665.0
885 210.55 210.0 209.6 633.7 1012.7 0 29665.0
886 210.23 210.06799999999998 209.70999999999998 634.3 1007.2 0 29665.0
887 210.23 210.06799999999998 209.70999999999998 634.3 1007.2 0 29665.0
888 210.38 210.154 209.80599999999998 614.8 807.2 0 29665.0
889 210.245 210.21300000000002 209.882 555.0 687.5 0 29665.0
890 210.39 210.359 209.87000000000003 547.5 574.9 0 29665.0
891 210.71 210.391 210.0 564.9 577.4 0 29665.0
892 210.99 210.54300000000003 210.06799999999998 617.3 617.9 0 29665.0
893 211.09 210.685 210.154 663.0 567.9 0 29665.0
894 210.87 210.81000000000003 210.21300000000002 802.8 464.8 0 29665.0
895 210.87 210.81000000000003 210.373 802.8 464.8 0 29665.0
896 211.11 210.954 210.34099999999998 696.8 639.7 0 29665.0
897 211.28 211.06800000000004 210.43699999999998 690.1 634.3 0 29665.0
898 211.17 211.10399999999998 210.54300000000003 690.5 624.3 0 29665.0
899 211.17 211.10399999999998 210.54300000000003 690.5 624.3 0 29665.0
900 210.71 211.02799999999996 210.685 699.5 574.0 0 29665.0
901 210.71 211.02799999999996 210.685 699.5 574.0 0 29665.0
902 210.71 211.02799999999996 210.685 699.5 574.0 0 29665.0
903 210.57 210.968 210.81000000000003 708.5 565.0 0 29665.0
904 210.2 210.786 210.954 716.0 444.9 25 29665.0
905 210.26 210.58200000000002 211.06800000000004 586.0 511.9 50 29666.5
906 210.2 210.388 211.10399999999998 481.6 607.3 50 29663.5
907 210.18 210.282 211.02799999999996 407.9 663.0 50 29662.5
908 210.16 210.2 210.968 260.9 802.8 50 29661.5
909 210.3 210.21999999999997 210.786 230.1 711.8 0 29668.5
910 210.97 210.362 210.58200000000002 381.1 690.1 0 29668.5
911 210.95 210.51200000000003 210.388 540.7 690.5 0 29668.5
912 210.89 210.654 210.282 551.2 699.5 0 29668.5
913 210.8 210.782 210.2 583.7 708.5 0 29668.5
914 210.71 210.86399999999998 210.21999999999997 593.7 716.0 0 29668.5
915 210.31 210.73200000000003 210.362 628.1 586.0 0 29668.5
916 210.66 210.67400000000004 210.51200000000003 627.3 481.6 0 29668.5
