time stock-price decision number-of-stocks portfolio-value
570 191.48 1 0 30000.0
571 191.88 -3 50 30000.0
572 191.68 -3 100 29990.0
573 191.61 -3 150 29983.000000000004
574 191.34 -3 150 29942.5
575 190.71 -3 150 29848.0
576 190.62 -5 150 29834.5
577 190.5 -5 150 29816.5
578 190.68 -3 150 29843.5
579 190.84 1 100 29867.5
580 190.68 3 50 29851.5
581 191.02 1 0 29868.5
582 190.9 3 0 29868.5
583 191.02 3 0 29868.5
584 190.97 1 0 29868.5
585 191.21 3 0 29868.5
586 191.28 5 0 29868.5
587 191.34 5 0 29868.5
588 191.34 5 0 29868.5
589 191.2 1 0 29868.5
590 191.32 -3 50 29868.5
591 191.21 -1 100 29863.0
592 191.17 -3 150 29858.999999999996
593 191.05 -1 150 29841.0
594 191 -5 150 29833.5
595 190.87 -5 150 29814.0
596 190.92 -3 150 29821.499999999996
597 190.97 -1 150 29829.0
598 190.73 1 100 29793.0
599 190.645 -5 150 29784.5
600 190.83 -1 150 29812.250000000004
601 190.74 -1 150 29798.75
602 190.68 -1 150 29789.75
603 190.81 -1 150 29809.25
604 190.82 3 100 29810.75
605 190.68 1 50 29796.75
606 190.78 -3 100 29801.75
607 190.82 -1 150 29805.75
608 190.95 1 100 29825.25
609 191.09 3 50 29839.25
610 191.01 3 0 29835.25
611 190.9 1 0 29835.25
612 191.04 -1 50 29835.25
613 191.33 1 0 29849.75
614 191.3 3 0 29849.75
615 191.31 3 0 29849.75
616 191.33 3 0 29849.75
617 191.26 1 0 29849.75
618 191.42 -1 50 29849.75
619 191.59 1 0 29858.25
620 191.59 3 0 29858.25
621 191.7 5 0 29858.25
622 191.575 3 0 29858.25
623 191.61 1 0 29858.25
624 191.5 -1 50 29858.25
625 191.53 -3 100 29859.75
626 191.63 -1 150 29869.75
627 191.8 1 100 29895.25
628 191.82 5 50 29897.25
629 191.69 1 0 29890.75
630 191.77 1 0 29890.75
631 191.71 -1 50 29890.75
632 191.74 -1 100 29892.25
