time stock-price decision number-of-stocks portfolio-value
570 193.77 -1 50 30000.0
571 194.02 -3 100 30012.5
572 194.21 -1 150 30031.5
573 194.32 1 100 30048.0
574 194.28 1 50 30044.0
575 194.4 5 0 30050.0
576 194.33 3 0 30050.0
577 194.64 1 0 30050.0
578 194.65 5 0 30050.0
579 194.39 1 0 30050.0
580 194.39 1 0 30050.0
581 194.61 -1 50 30050.0
582 194.605 -1 100 30049.75
583 194.46 1 50 30035.25
584 194.4 -1 100 30032.25
585 194.44 -3 150 30036.25
586 194.64 -1 150 30066.249999999996
587 194.26 3 100 30009.25
588 194.58 -3 150 30041.250000000004
589 194.43 1 100 30018.75
590 194.7 -1 150 30045.75
591 194.79 3 100 30059.25
592 194.86 5 50 30066.25
593 194.74 3 0 30060.25
594 194.71 -1 50 30060.25
595 194.61 -3 100 30055.25
596 194.79 -3 150 30073.25
597 194.94 1 100 30095.75
598 194.77 3 50 30078.75
599 195.16 1 0 30098.25
600 195.05 3 0 30098.25
601 195.13 3 0 30098.25
602 195.08 1 0 30098.25
603 195.05 -1 50 30098.25
604 195.04 -5 100 30097.75
605 194.88 -3 150 30081.75
606 194.84 -5 150 30075.75
607 194.78 -5 150 30066.75
608 194.79 -3 150 30068.25
609 194.73 -5 150 30059.25
610 194.9 -1 150 30084.75
611 194.86 1 100 30078.75
612 194.75 1 50 30067.75
613 194.6 -1 100 30060.25
614 194.66 -3 150 30066.25
615 194.59 -3 150 30055.75
616 194.71 -3 150 30073.75
617 194.66 1 100 30066.25
618 194.795 1 50 30079.75
619 194.77 3 0 30078.5
620 194.77 1 0 30078.5
621 194.91 1 0 30078.5
622 195.15 1 0 30078.5
623 195.1 3 0 30078.5
624 194.77 1 0 30078.5
625 194.81 -1 50 30078.5
626 194.735 -3 100 30074.75
627 194.68 -5 150 30069.25
628 194.72 -3 150 30075.25
629 194.67 -3 150 30067.749999999996
630 194.45 -1 150 30034.75
631 194.47 -3 150 30037.75
632 194.52 -1 150 30045.25
633 194.52 -1 150 30045.25
634 194.39 -1 150 30025.749999999996
635 194.42 -1 150 30030.249999999996
636 194.58 -1 150 30054.250000000004
637 194.655 1 100 30065.5
638 194.79 3 50 30079.0
639 194.92 5 0 30085.5
640 195.02 5 0 30085.5
641 195.07 5 0 30085.5
642 194.94 1 0 30085.5
643 195 1 0 30085.5
644 194.87 -3 50 30085.5
645 194.97 -3 100 30090.5
646 195.48 -1 150 30141.5
647 195.49 5 100 30143.0
648 195.81 5 50 30175.0
649 195.74 3 0 30171.5
650 195.86 3 0 30171.5
651 195.93 5 0 30171.5
652 195.83 3 0 30171.5
653 195.62 -1 50 30171.5
654 195.54 -3 100 30167.5
655 195.51 -5 150 30164.5
656 195.4 -5 150 30148.0
657 195.31 -5 150 30134.5
658 195.26 -5 150 30127.0
659 195.15 -5 150 30110.5
660 195.37 -3 150 30143.5
661 195.275 1 100 30129.25
662 195.125 1 50 30114.25
663 195.175 -3 100 30116.75
664 195.32 -1 150 30131.25
665 195.25 1 100 30120.75
666 195.27 3 50 30122.75
667 195.21 -1 100 30119.75
668 195.29 -3 150 30127.75
669 195.19 3 100 30112.75
670 195.24 -3 150 30117.75
671 195.27 -1 150 30122.25
672 195.05 1 100 30089.25
673 195.06 -3 150 30090.25
674 194.945 -5 150 30073.0
675 194.94 -5 150 30072.25
676 194.97 -1 150 30076.75
677 195.02 1 100 30084.25
678 195.04 3 50 30086.25
679 195.08 5 0 30088.25
680 195.01 3 0 30088.25
681 194.97 -1 50 30088.25
682 194.97 -5 100 30088.25
683 195.03 -1 150 30094.25
684 195.06 1 100 30098.75
685 195.04 3 50 30096.75
686 195.14 5 0 30101.75
687 195.03 3 0 30101.75
688 194.96 -1 50 30101.75
689 194.92 -5 100 30099.75
690 195.01 -1 150 30108.75
691 194.98 -1 150 30104.25
692 194.89 1 100 30090.75
693 195.06 -3 150 30107.75
694 195.02 3 100 30101.75
695 194.785 1 50 30078.25
696 194.69 -3 100 30073.5
697 194.67 -5 150 30071.499999999996
698 194.69 -3 150 30074.5
699 194.78 1 100 30088.0
700 194.84 3 50 30094.0
701 194.87 5 0 30095.5
702 194.96 5 0 30095.5
703 195.03 5 0 30095.5
704 194.97 3 0 30095.5
705 194.9 1 0 30095.5
706 194.84 -3 50 30095.5
707 194.92 -3 100 30099.5
708 194.93 1 50 30100.5
709 194.86 1 0 30097.0
710 194.89 1 0 30097.0
711 194.83 -3 50 30097.0
712 194.69 -3 100 30090.0
713 194.705 -3 150 30091.500000000004
714 194.74 -1 150 30096.75
715 194.75 1 100 30098.25
716 194.78 3 50 30101.25
717 194.87 3 0 30105.75
718 194.79 3 0 30105.75
719 194.7 1 0 30105.75
720 194.82 -3 50 30105.75
721 194.85 1 0 30107.25
722 194.87 3 0 30107.25
723 194.83 1 0 30107.25
724 194.81 -1 50 30107.25
725 194.77 -3 100 30105.25
726 194.84 -3 150 30112.25
