time stock-price decision number-of-stocks portfolio-value
570 195 1 0 30000
571 194.78 3 0 30000.0
572 194.89 3 0 30000.0
573 194.71 1 0 30000.0
574 194.84 -1 50 30000.0
575 195.04 -1 100 30010.0
576 195.15 3 50 30021.0
577 195.62 3 0 30044.5
578 195.8 5 0 30044.5
579 195.71 3 0 30044.5
580 195.87 3 0 30044.5
581 195.94 5 0 30044.5
582 195.92 3 0 30044.5
583 196.18 3 0 30044.5
584 196.34 5 0 30044.5
585 196.51 5 0 30044.5
586 196.57 5 0 30044.5
587 196.19 1 0 30044.5
588 196.3 -1 50 30044.5
589 196.29 -3 100 30044.0
590 196.17 -3 150 30031.999999999996
591 196.34 -3 150 30057.5
592 196.32 1 100 30054.5
593 196.5 1 50 30072.5
594 196.385 3 0 30066.75
595 196.57 3 0 30066.75
596 196.42 3 0 30066.75
597 196.62 -1 50 30066.75
598 196.46 3 0 30058.75
599 196.535 1 0 30058.75
600 196.545 1 0 30058.75
601 196.27 1 0 30058.75
602 196.39 -3 50 30058.75
603 196.18 -1 100 30048.25
604 196.26 -3 150 30056.25
605 196.39 -1 150 30075.749999999996
606 196.21 3 100 30048.75
607 196.11 -1 150 30038.750000000004
608 195.95 -3 150 30014.75
609 196.07 -3 150 30032.75
610 196.23 -1 150 30056.75
611 196.21 1 100 30053.75
612 196.31 5 50 30063.75
613 196.25 3 0 30060.75
614 196.14 1 0 30060.75
615 196.08 -3 50 30060.75
616 196.14 -3 100 30063.75
617 196 -5 150 30049.75
618 196 -5 150 30049.75
619 195.84 -3 150 30025.75
620 195.94 -3 150 30040.75
621 195.92 -3 150 30037.749999999996
622 195.9 -3 150 30034.75
623 195.87 -3 150 30030.25
624 195.92 -3 150 30037.749999999996
625 195.61 1 100 29991.25
626 195.69 -3 150 29999.25
627 195.76 -1 150 30009.75
628 195.69 -1 150 29999.25
629 195.66 -3 150 29994.75
630 195.69 -1 150 29999.25
631 195.63 -3 150 29990.25
632 195.68 -3 150 29997.75
633 195.62 1 100 29988.75
634 195.69 -3 150 29995.75
635 195.89 1 100 30025.75
636 196.03 3 50 30039.75
637 196 3 0 30038.25
638 195.99 1 0 30038.25
639 196.06 3 0 30038.25
640 195.96 3 0 30038.25
641 195.78 -1 50 30038.25
642 195.88 -3 100 30043.25
643 195.9 -1 150 30045.25
644 196.04 1 100 30066.25
645 196.05 5 50 30067.25
646 196.08 5 0 30068.75
647 195.95 1 0 30068.75
648 195.8 -1 50 30068.75
649 195.785 -5 100 30068.0
650 195.86 -1 150 30075.500000000004
651 195.69 -3 150 30050.0
652 195.78 -3 150 30063.5
653 195.88 -1 150 30078.5
654 195.85 3 100 30074.0
655 195.85 3 50 30074.0
656 195.83 1 0 30073.0
657 195.81 -1 50 30073.0
658 195.7 -3 100 30067.5
659 195.7 -3 150 30067.5
660 195.9 -1 150 30097.5
661 195.81 1 100 30084.0
662 195.91 1 50 30094.0
663 195.75 3 0 30086.0
664 195.805 -1 50 30086.0
665 195.5 -1 100 30070.75
666 195.26 -3 150 30046.75
667 195.43 -3 150 30072.25
668 195.22 -3 150 30040.75
669 195.22 -5 150 30040.75
670 195.4 -1 150 30067.75
671 195.39 -1 150 30066.249999999996
672 195.43 3 100 30072.25
673 195.47 5 50 30076.25
674 195.54 5 0 30079.75
675 195.39 1 0 30079.75
676 195.52 -3 50 30079.75
677 195.38 1 0 30072.75
678 195.4 -3 50 30072.75
679 195.515 -1 100 30078.5
680 195.51 1 50 30078.0
681 195.42 1 0 30073.5
682 195.36 -1 50 30073.5
683 195.34 -5 100 30072.5
684 195.23 -5 150 30061.5
685 195.32 -3 150 30075.0
686 195.4 -1 150 30087.0
687 195.46 3 100 30096.0
688 195.43 3 50 30093.0
689 195.38 1 0 30090.5
690 195.4 -1 50 30090.5
691 195.25 -3 100 30083.0
692 195.33 -3 150 30091.000000000004
693 195.21 -3 150 30073.0
694 195.16 -5 150 30065.5
695 195.16 -5 150 30065.5
696 195.13 -5 150 30061.0
697 195.25 -1 150 30079.0
698 195.4 1 100 30101.5
699 195.48 5 50 30109.5
700 195.51 5 0 30111.0
701 195.45 1 0 30111.0
702 195.67 1 0 30111.0
703 195.56 3 0 30111.0
704 195.64 3 0 30111.0
705 195.63 1 0 30111.0
706 195.58 1 0 30111.0
707 195.65 -3 50 30111.0
708 195.71 1 0 30114.0
