time stock-price decision_max decision number-of-stocks portfolio-value
570 29.02 9 0 0 30000
571 29.02 9 0 0 30000
572 29.02 9 0 0 30000
573 29.02 9 0 0 30000
574 29.02 9 0 0 30000
575 29.02 9 0 0 30000
576 29.02 9 0 0 30000
577 29.02 9 0 0 30000
578 29.02 9 0 0 30000
579 29.02 9 0 0 30000
580 29.02 9 0 0 30000
581 29.02 9 0 0 30000
582 29.02 9 0 0 30000
583 29.02 9 0 0 30000
584 29.02 9 0 0 30000
585 29.02 9 1 0 30000.0
586 29.02 9 1 0 30000.0
587 29.02 9 1 0 30000.0
588 29.02 9 1 0 30000.0
589 29.02 9 1 0 30000.0
590 29.02 9 1 0 30000.0
591 29.02 9 1 0 30000.0
592 29.02 9 1 0 30000.0
593 29.02 9 1 0 30000.0
594 29.02 9 1 0 30000.0
595 29.02 9 1 0 30000.0
596 29.02 9 1 0 30000.0
597 29.02 9 1 0 30000.0
598 29.02 9 1 0 30000.0
599 29.02 9 1 0 30000.0
600 29.02 9 1 0 30000.0
601 29.02 9 1 0 30000.0
602 29.02 9 1 0 30000.0
603 29.02 9 1 0 30000.0
604 29.02 9 1 0 30000.0
605 29.02 9 1 0 30000.0
606 29.02 9 1 0 30000.0
607 29.02 9 1 0 30000.0
608 29.02 9 1 0 30000.0
609 29.02 9 1 0 30000.0
610 29.02 9 1 0 30000.0
611 29.02 9 1 0 30000.0
612 29.02 9 1 0 30000.0
613 29.02 9 1 0 30000.0
614 29.02 9 1 0 30000.0
615 29.02 9 1 0 30000.0
616 29.02 9 1 0 30000.0
617 29.02 9 1 0 30000.0
618 29.02 9 1 0 30000.0
619 29.02 9 1 0 30000.0
620 29.02 9 1 0 30000.0
621 29.02 9 1 0 30000.0
622 29.02 9 1 0 30000.0
623 29.02 9 1 0 30000.0
624 29.02 9 1 0 30000.0
625 29.02 9 1 0 30000.0
626 29.02 9 1 0 30000.0
627 29.02 9 1 0 30000.0
628 29.02 9 1 0 30000.0
629 29.02 9 1 0 30000.0
630 29.02 9 1 0 30000.0
631 29.02 9 1 0 30000.0
632 29.02 9 1 0 30000.0
633 29.02 9 1 0 30000.0
634 29.02 9 1 0 30000.0
635 29.02 9 1 0 30000.0
636 29.02 9 1 0 30000.0
637 29.02 9 1 0 30000.0
638 29.02 9 1 0 30000.0
639 29.02 9 1 0 30000.0
640 29.02 9 1 0 30000.0
641 29.02 9 1 0 30000.0
642 29.02 9 1 0 30000.0
643 29.02 9 1 0 30000.0
644 29.02 9 1 0 30000.0
645 29.02 9 1 0 30000.0
646 29.02 9 1 0 30000.0
647 29.02 9 1 0 30000.0
648 29.02 9 1 0 30000.0
649 29.02 9 1 0 30000.0
650 29.02 9 1 0 30000.0
651 29.02 9 1 0 30000.0
652 29.02 9 1 0 30000.0
653 29.02 9 1 0 30000.0
654 29.02 9 1 0 30000.0
655 29.02 9 1 0 30000.0
656 29.02 9 1 0 30000.0
657 29.02 9 1 0 30000.0
658 29.02 9 1 0 30000.0
659 29.02 9 1 0 30000.0
660 29.02 9 1 0 30000.0
661 29.02 9 1 0 30000.0
662 29.02 9 1 0 30000.0
663 29.02 9 1 0 30000.0
664 29.02 9 1 0 30000.0
665 29.02 9 1 0 30000.0
666 29.02 9 1 0 30000.0
667 29.02 9 1 0 30000.0
