time stock-price decision number-of-stocks portfolio-value
570 195.74 -3 0 30000.0
571 195.64 1 50 30000.0
572 196.26 5 100 30031.0
573 196.6 9 150 30065.0
574 196.59 7 150 30063.5
575 196.91 9 150 30111.5
576 196.88 7 150 30107.0
577 196.74 5 150 30086.0
578 196.835 5 150 30100.25
579 197.58 -5 100 30212.0
580 198.205 -1 50 30274.5
581 198.24 5 100 30276.25
582 198.63 7 150 30315.25
583 198.97 9 150 30366.25
584 198.75 7 150 30333.25
585 198.94 7 150 30361.75
586 199.06 7 150 30379.75
587 199.32 7 150 30418.75
588 199.71 5 150 30477.25
589 199.7 7 150 30475.75
590 199.76 9 150 30484.75
591 199.68 7 150 30472.75
592 199.42 3 150 30433.749999999996
593 199.39 -1 100 30429.25
594 199.34 -3 50 30424.25
595 199.18 -5 0 30416.25
596 198.85 -3 0 30416.25
597 198.88 -7 0 30416.25
598 199.09 -5 0 30416.25
599 199.2 -3 0 30416.25
600 199.3 -1 0 30416.25
601 199.63 1 50 30416.25
602 199.61 3 100 30415.25
603 199.54 5 150 30408.25
604 199.65 5 150 30424.75
605 199.78 7 150 30444.25
606 199.44 5 150 30393.25
607 199.52 3 150 30405.25
608 199.4 3 150 30387.25
609 199.35 -3 100 30379.75
610 199.33 -9 50 30377.75
611 199.32 -9 0 30377.25
612 199.43 -5 0 30377.25
613 199.52 -1 0 30377.25
614 199.445 1 50 30377.25
615 199.3 5 100 30370.0
616 199.42 -1 50 30382.0
617 199.52 -5 0 30387.0
618 199.94 -3 0 30387.0
619 199.79 5 50 30387.0
620 199.58 5 100 30376.5
621 199.55 3 150 30373.5
622 199.75 1 150 30403.5
623 199.76 3 150 30405.0
624 199.4 5 150 30351.0
625 199.315 1 150 30338.25
626 199.425 -7 100 30354.75
627 199.42 -5 50 30354.25
628 199.38 -5 0 30352.25
629 199.51 -3 0 30352.25
630 199.63 -3 0 30352.25
631 199.53 3 50 30352.25
632 199.66 3 100 30358.75
633 199.63 7 150 30355.75
634 199.67 7 150 30361.749999999996
635 199.7 9 150 30366.25
636 199.67 7 150 30361.749999999996
637 199.76 5 150 30375.25
638 199.885 -3 100 30394.0
639 199.88 7 150 30393.5
640 199.86 5 150 30390.500000000004
641 199.85 3 150 30389.0
642 199.82 1 150 30384.5
643 199.83 1 150 30386.000000000004
644 199.89 -1 100 30395.0
645 199.89 1 150 30394.999999999996
646 199.91 1 150 30398.0
647 199.89 5 150 30394.999999999996
648 199.91 1 150 30398.0
649 199.96 -1 100 30405.5
650 199.93 7 150 30402.5
651 199.79 5 150 30381.5
652 199.92 -7 100 30401.0
653 200.05 -5 50 30414.0
654 200.19 -1 0 30421.0
655 200.14 5 50 30421.0
656 200.23 3 100 30425.5
657 200.1 7 150 30412.5
658 200.06 1 150 30406.5
659 200.04 -1 100 30403.5
660 200.1 -1 50 30409.5
661 200.13 -1 0 30411.0
662 199.99 5 50 30411.0
663 199.82 3 100 30402.5
664 199.91 -7 50 30411.5
665 200.08 -5 0 30420.0
666 199.97 -3 0 30420.0
667 200.11 -3 0 30420.0
668 200.1 1 50 30420.0
669 200.05 3 100 30417.5
670 199.98 3 150 30410.5
671 200.08 -1 100 30425.5
672 199.73 5 150 30390.5
673 199.74 -1 100 30392.0
674 199.65 -5 50 30383.0
