time stock-price current-volume avg-price-5-min avg-price-10-5-min avg-vol-10-min avg-vol-20-10-min number-of-stocks portfolio-value 
668 211.47 1401 212.128 213.292 1168.3 422.8 75 30113.0
669 211.21 2817 211.714 213.398 1374.8 478.0 100 30093.5
670 211.66 2572 211.42800000000003 213.34 1592.0 497.9 125 30138.5
671 211.43 850 211.456 212.862 1518.8 588.8 150 30109.75
672 211.95 975 211.544 212.48999999999995 1576.3 569.3 175 30187.75
673 212.13 414 211.67600000000002 212.128 1590.2 513.9 200 30219.25
674 212.13 414 211.67600000000002 212.128 1590.2 513.9 225 30219.25
675 212.18 848 211.86999999999998 211.714 1583.1 583.0 0 30230.5
676 211.79 800 211.89600000000002 211.42800000000003 1611.0 590.1 0 30230.5
677 211.75 500 211.95999999999998 211.456 1301.3 899.7 0 30230.5
678 211.75 500 211.95999999999998 211.456 1301.3 899.7 0 30230.5
679 212.3 200 212.03000000000003 211.544 1137.7 1033.3 0 30230.5
680 211.84 400 211.97199999999998 211.67600000000002 1037.6 1168.3 0 30230.5
681 211.8 1000 211.89600000000002 211.86999999999998 855.9 1374.8 0 30230.5
682 211.93 70 211.92400000000004 211.89600000000002 605.7 1592.0 0 30230.5
683 212.33 300 212.04000000000002 211.95999999999998 550.7 1518.8 0 30230.5
684 212.325 775 212.045 212.03000000000003 530.7 1576.3 0 30230.5
685 212.06 157 212.089 211.97199999999998 505.0 1590.2 0 30230.5
686 212.065 101 212.142 211.89600000000002 430.3 1583.1 0 30230.5
687 211.96 16 212.148 211.92400000000004 351.9 1611.0 0 30230.5
688 212.63 1381 212.208 212.04000000000002 440.0 1301.3 0 30230.5
689 212.615 300 212.266 212.045 450.0 1137.7 0 30230.5
690 212.95 745 212.44400000000002 212.089 484.5 1037.6 0 30230.5
691 213.05 2284 212.641 212.142 612.9 855.9 0 30230.5
692 212.935 681 212.83599999999996 212.148 674.0 605.7 0 30230.5
693 212.99 240 212.908 212.208 668.0 550.7 0 30230.5
694 212.72 200 212.929 212.266 610.5 530.7 0 30230.5
695 212.3 201 212.79900000000004 212.44400000000002 614.9 505.0 0 30230.5
696 212.44 200 212.677 212.641 624.8 430.3 0 30230.5
697 212.9 262 212.67000000000002 212.83599999999996 649.4 351.9 25 30230.5
698 212.85 200 212.642 212.908 531.3 440.0 50 30229.25
699 212.9 102 212.67800000000003 212.929 511.5 450.0 75 30231.75
700 212.95 447 212.808 212.79900000000004 481.7 484.5 0 30235.5
701 212.95 300 212.91 212.677 283.3 612.9 0 30235.5
702 212.88 39 212.90600000000003 212.67000000000002 219.1 674.0 0 30235.5
703 212.99 705 212.93400000000003 212.642 265.6 668.0 0 30235.5
704 213.09 210 212.97199999999998 212.67800000000003 266.6 610.5 0 30235.5
705 212.81 204 212.94400000000002 212.808 266.9 614.9 0 30235.5
706 212.89 600 212.93199999999996 212.91 306.9 624.8 0 30235.5
707 212.75 700 212.90600000000003 212.90600000000003 350.7 649.4 0 30235.5
708 212.75 700 212.90600000000003 212.90600000000003 350.7 649.4 0 30235.5
709 212.84 625 212.87599999999998 212.93400000000003 393.2 531.3 0 30235.5
710 212.6 419 212.77800000000002 212.97199999999998 424.9 511.5 0 30235.5
711 212.69 100 212.754 212.94400000000002 390.2 481.7 0 30235.5
712 212.77 300 212.73000000000002 212.93199999999996 390.2 283.3 25 30235.5
713 212.74 213 212.72799999999998 212.90600000000003 407.6 219.1 50 30234.75
714 212.89 1479 212.738 212.87599999999998 485.0 265.6 75 30242.25
715 212.67 100 212.752 212.77800000000002 474.0 266.6 100 30225.75
716 212.31 200 212.676 212.754 473.6 266.9 125 30189.75
717 212.21 375 212.564 212.73000000000002 451.1 306.9 150 30177.25
718 212.21 327 212.458 212.72799999999998 413.8 350.7 175 30177.25
719 212.23 290 212.32600000000002 212.738 380.3 393.2 0 30180.75
720 212.43 500 212.27800000000002 212.752 388.4 424.9 0 30180.75
721 212.43 500 212.27800000000002 212.752 388.4 424.9 0 30180.75
722 212.74 411 212.36399999999998 212.676 419.5 390.2 25 30180.75
723 212.595 100 212.44099999999997 212.564 399.5 390.2 50 30177.125
724 212.6 600 212.519 212.458 438.2 407.6 0 30177.375
725 212.94 920 212.661 212.32600000000002 382.3 485.0 0 30177.375
726 212.94 920 212.661 212.32600000000002 382.3 485.0 0 30177.375
727 212.81 98 212.737 212.27800000000002 382.1 474.0 0 30177.375
728 212.75 100 212.73899999999998 212.36399999999998 372.1 473.6 0 30177.375
729 213.15 349 212.85 212.44099999999997 369.5 451.1 0 30177.375
730 213.1 285 212.95 212.519 365.3 413.8 0 30177.375
731 212.945 4 212.95100000000002 212.661 336.7 380.3 0 30177.375
732 212.945 4 212.95100000000002 212.661 336.7 380.3 0 30177.375
733 212.94 942 212.977 212.737 380.9 388.4 0 30177.375
734 212.99 106 213.025 212.73899999999998 350.4 419.5 0 30177.375
735 212.91 322 212.977 212.85 372.6 399.5 0 30177.375
736 212.88 1383 212.933 212.95 450.9 438.2 25 30177.375
737 213.33 1050 213.01 212.95100000000002 463.9 382.3 0 30188.625
738 213.1 20 213.042 212.977 456.1 382.1 0 30188.625
739 213.26 266 213.096 213.025 472.7 372.1 0 30188.625
740 213.29 200 213.17200000000003 212.977 457.8 369.5 0 30188.625
741 212.78 192 213.152 212.933 448.5 365.3 0 30188.625
742 212.85 120 213.05599999999998 213.01 460.1 336.7 0 30188.625
743 212.85 120 213.05599999999998 213.01 460.1 336.7 0 30188.625
744 212.83 300 213.002 213.042 395.9 380.9 25 30188.625
745 212.9 500 212.93 213.096 435.3 350.4 50 30190.375
746 212.9 100 212.852 213.17200000000003 413.1 372.6 75 30190.375
747 212.83 304 212.862 213.152 305.2 450.9 0 30185.125
748 212.64 1200 212.82 213.05599999999998 320.2 463.9 0 30185.125
749 212.8 198 212.814 213.002 338.0 456.1 0 30185.125
750 212.8 198 212.814 213.002 338.0 456.1 0 30185.125
751 212.81 125 212.796 212.93 323.9 472.7 0 30185.125
752 212.78 32 212.772 212.852 307.1 457.8 0 30185.125
753 212.78 32 212.772 212.852 307.1 457.8 0 30185.125
754 212.53 100 212.712 212.862 297.9 448.5 0 30185.125
755 212.53 100 212.712 212.862 297.9 448.5 0 30185.125
756 212.7 262 212.724 212.82 312.1 460.1 0 30185.125
757 212.7 262 212.724 212.82 312.1 460.1 0 30185.125
758 212.63 1008 212.68999999999997 212.814 382.9 395.9 0 30185.125
759 212.45 116 212.618 212.796 344.5 435.3 0 30185.125
760 212.62 200 212.58599999999996 212.772 354.5 413.1 0 30185.125
761 212.39 202 212.558 212.712 344.3 305.2 25 30185.125
762 212.355 26 212.48899999999998 212.724 226.9 320.2 0 30184.25
763 212.51 1024 212.465 212.68999999999997 309.5 338.0 0 30184.25
764 212.51 404 212.477 212.618 337.4 323.9 25 30184.25
765 212.65 1256 212.483 212.58599999999996 459.8 307.1 50 30187.75
766 212.85 100 212.575 212.558 459.8 297.9 0 30197.75
767 212.61 3 212.62600000000003 212.48899999999998 433.9 312.1 0 30197.75
768 212.27 204 212.57800000000003 212.465 353.5 382.9 0 30197.75
769 212.395 1 212.555 212.477 342.0 344.5 0 30197.75
770 212.21 100 212.467 212.483 332.0 354.5 0 30197.75
771 212.085 116 212.314 212.575 323.4 344.3 0 30197.75
772 212.15 130 212.22200000000004 212.62600000000003 333.8 226.9 25 30197.75
773 212.31 18 212.23000000000002 212.57800000000003 233.2 309.5 0 30201.75
774 212.23 100 212.19700000000003 212.555 202.8 337.4 0 30201.75
775 212.23 100 212.19700000000003 212.555 202.8 337.4 0 30201.75
776 212.23 100 212.19700000000003 212.555 202.8 337.4 0 30201.75
777 212.23 100 212.19700000000003 212.555 202.8 337.4 0 30201.75
778 212.23 100 212.19700000000003 212.555 202.8 337.4 0 30201.75
779 211.97 115 212.14900000000003 212.467 88.7 459.8 0 30201.75
780 211.97 81 212.12600000000003 212.314 86.8 459.8 0 30201.75
781 211.97 81 212.12600000000003 212.314 86.8 459.8 0 30201.75
782 211.81 415 212.058 212.22200000000004 128.0 433.9 0 30201.75
783 211.73 200 211.942 212.23000000000002 127.6 353.5 0 30201.75
784 211.49 301 211.794 212.19700000000003 157.6 342.0 0 30201.75
785 211.49 301 211.794 212.19700000000003 157.6 342.0 0 30201.75
786 211.3 200 211.66 212.14900000000003 167.6 332.0 0 30201.75
787 211.37 213 211.53999999999996 212.12600000000003 177.3 323.4 0 30201.75
788 211.32 1585 211.442 212.058 322.8 333.8 0 30201.75
789 211.32 1585 211.442 212.058 322.8 333.8 0 30201.75
790 211.32 1585 211.442 212.058 322.8 333.8 0 30201.75
791 211.32 1585 211.442 212.058 322.8 333.8 0 30201.75
792 211.75 100 211.446 211.942 331.0 233.2 25 30201.75
793 211.36 500 211.42 211.794 371.0 202.8 50 30192.0
794 211.19 500 211.398 211.66 409.5 88.7 75 30183.5
795 211.34 600 211.392 211.53999999999996 461.4 86.8 100 30194.75
796 211.43 100 211.414 211.442 429.9 128.0 125 30203.75
797 211.28 300 211.32 211.446 439.9 127.6 150 30185.0
798 211.34 100 211.31599999999997 211.42 419.8 157.6 175 30194.0
799 211.53 400 211.38400000000001 211.398 439.8 167.6 200 30227.25
800 211.7 1100 211.456 211.392 528.5 177.3 0 30261.25
801 211.77 105 211.52399999999997 211.414 380.5 322.8 0 30261.25
802 211.72 200 211.612 211.32 390.5 331.0 0 30261.25
803 211.79 203 211.702 211.31599999999997 360.8 371.0 0 30261.25
804 211.79 203 211.702 211.31599999999997 360.8 371.0 0 30261.25
805 211.79 203 211.702 211.31599999999997 360.8 371.0 0 30261.25
806 211.79 203 211.702 211.31599999999997 360.8 371.0 0 30261.25
807 211.79 203 211.702 211.31599999999997 360.8 371.0 0 30261.25
808 211.9 200 211.776 211.38400000000001 330.8 409.5 0 30261.25
809 211.9 200 211.776 211.38400000000001 330.8 409.5 0 30261.25
810 211.9 200 211.776 211.38400000000001 330.8 409.5 0 30261.25
811 211.99 200 211.834 211.456 290.8 461.4 0 30261.25
812 211.99 200 211.834 211.456 290.8 461.4 0 30261.25
813 212.09 7 211.898 211.52399999999997 281.5 429.9 0 30261.25
814 212.09 7 211.898 211.52399999999997 281.5 429.9 0 30261.25
815 212.09 7 211.898 211.52399999999997 281.5 429.9 0 30261.25
816 212.09 7 211.898 211.52399999999997 281.5 429.9 0 30261.25
817 212.05 100 211.96400000000003 211.612 261.5 439.9 0 30261.25
818 211.95 100 211.996 211.702 261.5 419.8 0 30261.25
819 211.95 100 211.996 211.702 261.5 419.8 0 30261.25
820 211.95 100 211.996 211.702 261.5 419.8 0 30261.25
821 212.04 299 212.02400000000003 211.776 251.4 439.8 0 30261.25
822 212.21 137 212.06799999999998 211.834 155.1 528.5 0 30261.25
823 212.26 663 212.102 211.898 210.9 380.5 0 30261.25
824 212.22 103 212.13600000000002 211.96400000000003 201.2 390.5 0 30261.25
825 212.31 400 212.208 211.996 220.9 360.8 0 30261.25
826 212.23 100 212.246 212.02400000000003 210.9 330.8 0 30261.25
827 212.405 300 212.285 212.06799999999998 220.9 290.8 0 30261.25
828 212.43 100 212.31900000000002 212.102 230.2 281.5 0 30261.25
829 212.57 400 212.38899999999998 212.13600000000002 260.2 261.5 0 30261.25
830 212.495 300 212.42600000000002 212.208 280.2 261.5 0 30261.25
831 212.515 130 212.483 212.246 263.3 251.4 0 30261.25
832 212.65 400 212.532 212.285 289.6 155.1 0 30261.25
833 212.56 400 212.558 212.31900000000002 263.3 210.9 0 30261.25
834 212.43 300 212.53000000000003 212.38899999999998 283.0 201.2 0 30261.25
835 212.62 200 212.555 212.42600000000002 263.0 220.9 0 30261.25
836 212.645 400 212.58100000000005 212.483 293.0 210.9 0 30261.25
837 212.82 400 212.615 212.532 303.0 220.9 0 30261.25
838 212.785 100 212.66000000000003 212.558 303.0 230.2 0 30261.25
839 212.66 300 212.706 212.53000000000003 293.0 260.2 0 30261.25
840 212.455 300 212.673 212.555 293.0 280.2 0 30261.25
841 212.6 300 212.664 212.58100000000005 310.0 263.3 0 30261.25
842 212.6 300 212.664 212.58100000000005 310.0 263.3 0 30261.25
843 212.53 201 212.606 212.615 290.1 289.6 25 30261.25
844 212.69 100 212.587 212.66000000000003 260.1 263.3 0 30265.25
845 212.74 100 212.603 212.706 240.1 283.0 0 30265.25
846 212.74 100 212.603 212.706 240.1 283.0 0 30265.25
847 212.74 100 212.603 212.706 240.1 283.0 0 30265.25
848 212.31 200 212.57399999999998 212.673 240.1 263.0 0 30265.25
849 212.14 200 212.48199999999997 212.664 220.1 293.0 0 30265.25
850 212.14 200 212.48199999999997 212.664 220.1 293.0 0 30265.25
851 212.445 412 212.465 212.606 221.3 303.0 0 30265.25
852 212.49 100 212.425 212.587 221.3 303.0 0 30265.25
853 212.48 200 212.373 212.603 211.3 293.0 0 30265.25
854 212.38 100 212.387 212.57399999999998 191.3 293.0 0 30265.25
855 212.38 100 212.387 212.57399999999998 191.3 293.0 0 30265.25
856 212.59 8 212.477 212.48199999999997 162.1 310.0 0 30265.25
857 212 350 212.388 212.465 177.0 290.1 0 30265.25
858 211.9 600 212.27000000000004 212.425 227.0 260.1 0 30265.25
859 211.98 536 212.17 212.373 270.6 240.1 25 30265.25
860 212 300 212.094 212.387 280.6 240.1 50 30265.75
861 212.03 200 211.98200000000003 212.477 280.6 220.1 75 30267.25
862 212.05 990 211.99200000000002 212.388 338.4 221.3 100 30268.75
863 212.05 990 211.99200000000002 212.388 338.4 221.3 125 30268.75
864 212.27 100 212.06599999999997 212.27000000000004 338.4 221.3 150 30296.25
865 212.27 100 212.06599999999997 212.27000000000004 338.4 221.3 175 30296.25
866 212.23 311 212.11599999999999 212.17 349.5 211.3 200 30289.25
867 212.18 400 212.152 212.094 379.5 191.3 0 30279.25
868 211.99 425 212.144 211.98200000000003 421.2 162.1 0 30279.25
869 211.99 425 212.144 211.98200000000003 421.2 162.1 0 30279.25
870 212.05 140 212.144 211.99200000000002 400.2 177.0 0 30279.25
871 212.04 100 212.098 212.06599999999997 350.2 227.0 0 30279.25
872 212.04 100 212.098 212.06599999999997 350.2 227.0 0 30279.25
873 212.04 100 212.098 212.06599999999997 350.2 227.0 0 30279.25
874 211.93 169 212.038 212.11599999999999 313.5 270.6 25 30279.25
875 211.66 452 211.93400000000003 212.152 328.7 280.6 50 30272.5
876 211.51 600 211.83800000000002 212.144 368.7 280.6 75 30265.0
877 211.67 327 211.762 212.144 302.4 338.4 0 30277.0
878 211.685 200 211.69099999999997 212.098 312.4 338.4 0 30277.0
879 211.76 400 211.65699999999998 212.038 321.3 349.5 0 30277.0
880 211.74 1000 211.673 211.93400000000003 381.3 379.5 25 30277.0
881 211.87 300 211.74499999999998 211.83800000000002 368.8 421.2 0 30280.25
882 212.045 668 211.82 211.762 421.6 400.2 0 30280.25
883 212.035 34 211.89000000000001 211.69099999999997 415.0 350.2 0 30280.25
884 212.35 1867 212.00799999999998 211.65699999999998 584.8 313.5 0 30280.25
885 212.21 400 212.102 211.673 579.6 328.7 0 30280.25
886 212.2 54 212.16799999999998 211.74499999999998 525.0 368.7 0 30280.25
887 212.2 54 212.16799999999998 211.74499999999998 525.0 368.7 0 30280.25
888 211.95 300 212.14900000000003 211.82 522.3 302.4 0 30280.25
889 212.17 119 212.17600000000002 211.89000000000001 514.2 312.4 0 30280.25
890 211.99 44 212.10399999999998 212.00799999999998 478.6 321.3 0 30280.25
891 211.9 327 212.042 212.102 411.3 381.3 25 30280.25
892 211.9 327 212.042 212.102 411.3 381.3 50 30280.25
893 211.69 2 211.94 212.16799999999998 381.5 368.8 75 30269.75
894 211.81 100 211.91199999999998 212.14900000000003 324.7 421.6 0 30278.75
895 211.89 100 211.85599999999994 212.17600000000002 331.3 415.0 0 30278.75
896 211.94 200 211.846 212.10399999999998 164.6 584.8 0 30278.75
897 211.99 100 211.86399999999998 212.042 134.6 579.6 0 30278.75
898 212.01 100 211.92799999999997 211.94 139.2 525.0 0 30278.75
899 211.97 100 211.95999999999998 211.91199999999998 119.2 522.3 0 30278.75
900 211.97 100 211.95999999999998 211.91199999999998 119.2 522.3 0 30278.75
901 212.15 583 212.01200000000003 211.85599999999994 165.6 514.2 0 30278.75
902 211.96 103 212.016 211.846 171.5 478.6 0 30278.75
903 211.89 897 211.996 211.86399999999998 228.5 411.3 0 30278.75
904 211.89 897 211.996 211.86399999999998 228.5 411.3 0 30278.75
905 212.05 554 212.004 211.92799999999997 283.7 381.5 0 30278.75
906 211.92 1708 211.994 211.95999999999998 444.5 324.7 0 30278.75
907 212.045 93 211.973 212.01200000000003 443.8 331.3 25 30278.75
908 212.01 456 211.983 212.016 469.4 164.6 50 30277.875
909 211.99 100 212.003 211.996 469.4 134.6 0 30276.875
910 212.21 100 212.035 212.004 469.4 139.2 0 30276.875
911 212.275 100 212.106 211.994 469.4 119.2 0 30276.875
912 212.275 100 212.106 211.994 469.4 119.2 0 30276.875
913 212.275 100 212.106 211.994 469.4 119.2 0 30276.875
914 212.08 100 212.113 211.973 421.1 165.6 0 30276.875
915 212.19 240 212.14900000000003 211.983 434.8 171.5 0 30276.875
916 212.05 340 212.161 212.003 379.1 228.5 0 30276.875
917 211.945 632 212.108 212.035 386.9 283.7 0 30276.875
918 211.955 27 212.04399999999995 212.106 218.8 444.5 0 30276.875
919 212.24 600 212.07600000000002 212.113 269.5 443.8 0 30276.875
920 212.24 600 212.07600000000002 212.113 269.5 443.8 0 30276.875
921 212.36 4 212.11000000000004 212.14900000000003 224.3 469.4 0 30276.875
922 212.36 4 212.11000000000004 212.14900000000003 224.3 469.4 0 30276.875
923 212.23 480 212.14600000000002 212.161 262.3 469.4 0 30276.875
924 212.48 320 212.25300000000001 212.108 284.3 469.4 0 30276.875
925 212.41 100 212.344 212.04399999999995 284.3 469.4 0 30276.875
926 212.35 200 212.36599999999999 212.07600000000002 294.3 421.1 0 30276.875
927 212.38 302 212.36999999999998 212.11000000000004 300.5 434.8 0 30276.875
928 212.49 311 212.42200000000003 212.14600000000002 297.6 379.1 0 30276.875
929 212.5 100 212.42600000000002 212.25300000000001 244.4 386.9 0 30276.875
930 212.62 220 212.46800000000002 212.344 263.7 218.8 0 30276.875
931 212.62 220 212.46800000000002 212.344 263.7 218.8 0 30276.875
932 212.705 502 212.539 212.36599999999999 253.9 269.5 0 30276.875
933 212.705 502 212.539 212.36599999999999 253.9 269.5 0 30276.875
934 213.01 1402 212.66500000000002 212.36999999999998 393.7 224.3 0 30276.875
935 213.35 200 212.837 212.42200000000003 365.7 262.3 0 30276.875
936 213.27 200 212.99100000000004 212.42600000000002 353.7 284.3 0 30276.875
937 213.41 500 213.14900000000003 212.46800000000002 393.7 284.3 0 30276.875
938 213.54 400 213.31599999999997 212.539 413.7 294.3 0 30276.875
939 213.57 295 213.42799999999997 212.66500000000002 413.0 300.5 0 30276.875
940 213.43 700 213.44400000000002 212.837 451.9 297.6 0 30276.875
941 213.55 358 213.5 212.99100000000004 477.7 244.4 0 30276.875
942 213.28 542 213.474 213.14900000000003 509.9 263.7 0 30276.875
943 213.41 1155 213.448 213.31599999999997 575.2 253.9 0 30276.875
944 213.17 300 213.368 213.42799999999997 465.0 393.7 25 30276.875
945 213.49 1774 213.38000000000002 213.44400000000002 622.4 365.7 50 30284.875
946 213.63 300 213.39600000000002 213.5 632.4 353.7 75 30291.875
947 213.945 903 213.529 213.474 672.7 393.7 0 30315.5
948 213.945 903 213.529 213.474 672.7 393.7 0 30315.5
949 213.67 300 213.581 213.448 662.7 413.7 0 30315.5
950 213.67 727 213.68099999999998 213.368 705.9 413.0 0 30315.5
951 213.47 830 213.677 213.38000000000002 718.9 451.9 0 30315.5
952 213.45 597 213.641 213.39600000000002 742.8 477.7 0 30315.5
953 213.5 1520 213.552 213.529 840.6 509.9 0 30315.5
954 213.48 322 213.51399999999998 213.581 757.3 575.2 25 30315.5
955 213.46 665 213.47199999999998 213.68099999999998 793.8 465.0 50 30315.0
956 213.58 1006 213.494 213.677 717.0 622.4 75 30321.0
957 213.62 1729 213.52800000000002 213.641 859.9 632.4 100 30324.0
958 213.59 1689 213.546 213.552 938.5 672.7 125 30321.0
959 213.79 4656 213.60800000000003 213.51399999999998 1374.1 662.7 0 30346.0
