time stock-price decision number-of-stocks portfolio-value
570 192.83 -3 50 30000.0
571 192.9 -1 100 30003.5
572 192.3 1 50 29943.5
573 192.29 -5 100 29943.0
574 192.89 -1 150 30002.999999999996
575 193.1 1 100 30034.5
576 193.22 5 50 30046.5
577 193.3 5 0 30050.5
578 193.46 5 0 30050.5
579 193.27 3 0 30050.5
580 193.79 -1 50 30050.5
581 194 5 0 30061.0
582 193.85 3 0 30061.0
583 193.73 1 0 30061.0
584 193.88 -1 50 30061.0
585 194.03 1 0 30068.5
586 193.75 3 0 30068.5
587 193.92 -1 50 30068.5
588 194.18 -1 100 30081.5
589 194.16 3 50 30079.5
590 194.21 5 0 30082.0
591 194.12 3 0 30082.0
592 194.17 -1 50 30082.0
593 194.44 -1 100 30095.5
594 194.51 5 50 30102.5
595 194.74 5 0 30114.0
596 194.56 3 0 30114.0
597 194.59 3 0 30114.0
598 194.53 -1 50 30114.0
599 194.62 -3 100 30118.5
600 194.58 1 50 30114.5
601 194.74 1 0 30122.5
602 194.6 3 0 30122.5
603 194.43 1 0 30122.5
604 194.54 -3 50 30122.5
605 194.53 -3 100 30122.0
606 194.62 1 50 30131.0
607 194.61 3 0 30130.5
608 194.65 5 0 30130.5
609 194.59 3 0 30130.5
610 194.39 -1 50 30130.5
611 194.41 -3 100 30131.5
612 194.34 -5 150 30124.5
613 194.3 -5 150 30118.5
614 194.36 -3 150 30127.500000000004
615 194.33 -1 150 30123.000000000004
616 194.29 -1 150 30117.0
617 194.17 -1 150 30098.999999999996
618 194.27 -3 150 30114.0
619 194.31 -1 150 30120.0
620 194.32 3 100 30121.5
621 194.25 1 50 30114.5
622 194.4 -1 100 30122.0
623 194.435 3 50 30125.5
624 194.52 5 0 30129.75
625 194.48 3 0 30129.75
626 194.44 1 0 30129.75
627 194.44 -1 50 30129.75
628 194.66 -1 100 30140.75
629 194.54 3 50 30128.75
630 194.52 1 0 30127.75
631 194.56 1 0 30127.75
632 194.59 3 0 30127.75
633 194.74 1 0 30127.75
634 194.78 5 0 30127.75
635 194.82 5 0 30127.75
636 194.695 1 0 30127.75
637 194.835 -1 50 30127.75
638 194.84 1 0 30128.0
639 194.78 1 0 30128.0
640 194.89 -1 50 30128.0
641 194.91 5 0 30129.0
642 194.73 1 0 30129.0
643 194.66 -1 50 30129.0
644 194.71 -3 100 30131.5
645 194.58 -5 150 30118.500000000004
646 194.7 -3 150 30136.5
647 194.66 -3 150 30130.5
648 194.72 -1 150 30139.5
649 194.59 1 100 30120.0
650 194.64 -1 150 30124.999999999996
651 194.7 -1 150 30134.0
652 194.735 1 100 30139.25
653 194.75 5 50 30140.75
654 194.68 1 0 30137.25
655 194.65 -1 50 30137.25
656 194.71 -3 100 30140.25
657 194.55 1 50 30124.25
658 194.63 -3 100 30128.25
659 194.65 -1 150 30130.25
660 194.59 -3 150 30121.25
661 194.58 -3 150 30119.750000000004
662 194.65 -1 150 30130.25
663 194.67 1 100 30133.25
664 194.63 3 50 30129.25
665 194.555 -1 100 30125.5
666 194.44 -3 150 30114.0
667 194.51 -3 150 30124.5
668 194.53 -1 150 30127.5
669 194.55 1 100 30130.5
670 194.57 3 50 30132.5
671 194.59 5 0 30133.5
672 194.57 3 0 30133.5
673 194.48 -1 50 30133.5
674 194.54 -3 100 30136.5
675 194.57 -1 150 30139.5
676 194.51 -1 150 30130.5
677 194.55 -1 150 30136.5
678 194.56 1 100 30138.0
679 194.43 1 50 30125.0
680 194.44 -3 100 30125.5
681 194.49 -1 150 30130.5
682 194.455 -1 150 30125.250000000004
683 194.38 1 100 30114.0
684 194.17 -1 150 30092.999999999996
685 194.17 -3 150 30092.999999999996
686 194.165 -5 150 30092.25
687 194.08 -5 150 30079.500000000004
688 194.15 -3 150 30090.0
689 194.15 -3 150 30090.0
690 194.275 1 100 30108.75
691 194.24 3 50 30105.25
692 194.35 5 0 30110.75
693 194.29 3 0 30110.75
694 194.31 3 0 30110.75
695 194.28 1 0 30110.75
696 194.29 -1 50 30110.75
697 194.33 -1 100 30112.75
698 194.28 3 50 30107.75
699 194.265 -1 100 30107.0
700 194.35 -1 150 30115.5
701 194.4 1 100 30123.0
702 194.41 5 50 30124.0
703 194.32 1 0 30119.5
704 194.365 -1 50 30119.5
705 194.36 -3 100 30119.25
706 194.38 1 50 30121.25
707 194.43 3 0 30123.75
708 194.435 5 0 30123.75
709 194.47 5 0 30123.75
710 194.38 1 0 30123.75
711 194.33 -1 50 30123.75
712 194.27 -5 100 30120.75
713 194.11 -5 150 30104.750000000004
714 194.16 -3 150 30112.25
715 194.105 -3 150 30104.0
716 194.09 -5 150 30101.75
717 194.095 -3 150 30102.5
718 194.13 -1 150 30107.75
719 194.13 1 100 30107.75
720 194.2 3 50 30114.75
721 194.25 5 0 30117.25
722 194.1 1 0 30117.25
723 194.1 1 0 30117.25
724 194.075 -1 50 30117.25
725 194.05 -5 100 30116.0
726 194.03 -5 150 30114.0
727 193.95 -5 150 30102.0
728 193.94 -5 150 30100.5
729 194 -1 150 30109.5
730 194.06 1 100 30118.5
731 194.1 3 50 30122.5
732 194.13 5 0 30124.0
733 194.19 5 0 30124.0
734 194.2 5 0 30124.0
735 194.15 1 0 30124.0
736 194.14 -1 50 30124.0
737 194.2 -1 100 30127.0
738 194.16 1 50 30123.0
739 194.14 1 0 30122.0
740 194.06 -1 50 30122.0
741 194.09 -3 100 30123.5
742 194.07 -3 150 30121.5
743 194.05 -3 150 30118.5
744 194.1 -1 150 30126.0
745 194.06 3 100 30120.0
746 194.03 1 50 30117.0
747 193.96 -1 100 30113.5
748 194.02 -3 150 30119.5
749 194.07 -1 150 30127.0
750 194.07 3 100 30127.0
751 194.06 1 50 30126.0
752 194.15 1 0 30130.5
753 194.18 5 0 30130.5
754 194.17 3 0 30130.5
755 194.24 5 0 30130.5
756 194.19 3 0 30130.5
757 194.25 3 0 30130.5
758 194.24 3 0 30130.5
759 194.29 3 0 30130.5
760 194.24 3 0 30130.5
761 194.295 -1 50 30130.5
762 194.26 3 0 30128.75
763 194.28 1 0 30128.75
764 194.275 -1 50 30128.75
765 194.25 -1 100 30127.5
766 194.18 -1 150 30120.5
767 194.25 -3 150 30131.0
768 194.24 -3 150 30129.5
769 194.24 1 100 30129.5
770 194.31 1 50 30136.5
771 194.24 3 0 30133.0
772 194.18 -1 50 30133.0
773 194.18 -5 100 30133.0
774 194.13 -5 150 30128.0
775 194.12 -5 150 30126.5
776 194.14 -3 150 30129.499999999996
777 194.14 -1 150 30129.499999999996
778 194.14 -1 150 30129.499999999996
779 194.23 -1 150 30143.0
780 194.15 3 100 30131.0
781 194.25 1 50 30141.0
782 194.28 5 0 30142.5
783 194.3 5 0 30142.5
784 194.25 1 0 30142.5
785 194.14 -1 50 30142.5
786 194.17 -3 100 30144.0
787 194.185 -1 150 30145.5
788 194.23 1 100 30152.25
789 194.18 3 50 30147.25
790 194.2 1 0 30148.25
791 194.2 -1 50 30148.25
792 194.305 1 0 30153.5
793 194.25 3 0 30153.5
794 194.33 3 0 30153.5
795 194.33 3 0 30153.5
796 194.33 1 0 30153.5
797 194.32 -1 50 30153.5
798 194.34 -1 100 30154.5
799 194.29 1 50 30149.5
800 194.32 -3 100 30151.0
801 194.3 -3 150 30149.0
802 194.25 -1 150 30141.5
803 194.28 -3 150 30146.0
804 194.28 -3 150 30146.0
805 194.22 1 100 30137.0
806 194.22 -3 150 30137.0
807 194.2 -5 150 30134.0
808 194.2 -5 150 30134.0
809 194.2 -5 150 30134.0
810 194.245 -1 150 30140.75
811 194.22 3 100 30137.0
812 194.33 1 50 30148.0
813 194.29 3 0 30146.0
814 194.29 1 0 30146.0
815 194.27 -1 50 30146.0
816 194.31 -1 100 30148.0
817 194.34 1 50 30151.0
818 194.34 3 0 30151.0
819 194.42 3 0 30151.0
820 194.47 5 0 30151.0
821 194.52 5 0 30151.0
822 194.59 5 0 30151.0
823 194.52 3 0 30151.0
824 194.5 -1 50 30151.0
825 194.51 -1 100 30151.5
826 194.5 -3 150 30150.5
827 194.53 -1 150 30155.0
828 194.48 3 100 30147.5
829 194.47 -3 150 30146.5
830 194.52 -1 150 30154.0
831 194.48 1 100 30148.0
832 194.48 -1 150 30148.0
833 194.49 1 100 30149.5
834 194.54 1 50 30154.5
835 194.59 3 0 30157.0
836 194.6 5 0 30157.0
837 194.575 1 0 30157.0
838 194.61 1 0 30157.0
839 194.6 3 0 30157.0
840 194.64 1 0 30157.0
841 194.75 1 0 30157.0
842 194.73 3 0 30157.0
843 194.74 3 0 30157.0
844 194.7 -1 50 30157.0
845 194.7 -3 100 30157.0
846 194.66 -5 150 30153.0
847 194.63 -5 150 30148.5
848 194.59 -5 150 30142.5
849 194.59 -5 150 30142.5
850 194.46 -5 150 30123.0
851 194.45 -5 150 30121.5
852 194.47 -3 150 30124.5
853 194.445 -1 150 30120.75
854 194.47 -3 150 30124.5
855 194.47 -1 150 30124.5
856 194.49 1 100 30127.5
857 194.51 3 50 30129.5
858 194.5 3 0 30129.0
859 194.47 1 0 30129.0
860 194.44 -3 50 30129.0
861 194.39 -3 100 30126.5
862 194.445 -3 150 30132.0
863 194.41 -1 150 30126.75
864 194.4 -3 150 30125.25
865 194.37 -1 150 30120.75
866 194.34 -3 150 30116.25
867 194.35 -3 150 30117.75
868 194.3 -5 150 30110.25
869 194.28 -5 150 30107.25
870 194.34 -1 150 30116.25
871 194.36 1 100 30119.25
872 194.36 5 50 30119.25
873 194.39 5 0 30120.75
874 194.38 3 0 30120.75
875 194.41 5 0 30120.75
876 194.42 5 0 30120.75
877 194.45 5 0 30120.75
878 194.44 3 0 30120.75
879 194.455 3 0 30120.75
880 194.45 3 0 30120.75
881 194.4 1 0 30120.75
882 194.43 -3 50 30120.75
883 194.405 -3 100 30119.5
884 194.425 -1 150 30121.5
885 194.425 -1 150 30121.5
886 194.325 -1 150 30106.5
887 194.31 -5 150 30104.25
888 194.26 -5 150 30096.75
889 194.25 -5 150 30095.25
890 194.195 -5 150 30087.0
891 194.25 -3 150 30095.25
892 194.21 -3 150 30089.25
893 194.22 -1 150 30090.75
894 194.18 -1 150 30084.75
895 194.18 -5 150 30084.75
896 194.23 -1 150 30092.25
897 194.24 1 100 30093.75
898 194.26 5 50 30095.75
899 194.21 1 0 30093.25
900 194.13 -1 50 30093.25
901 194.06 -3 100 30089.75
902 194.15 -3 150 30098.75
903 194.07 -1 150 30086.75
904 194.14 -1 150 30097.249999999996
905 194.24 -1 150 30112.25
906 194.23 3 100 30110.75
907 194.245 3 50 30112.25
908 194.24 3 0 30112.0
909 194.25 1 0 30112.0
910 194.28 3 0 30112.0
911 194.42 1 0 30112.0
912 194.41 3 0 30112.0
913 194.39 1 0 30112.0
914 194.32 -1 50 30112.0
915 194.38 -1 100 30115.0
916 194.43 -1 150 30120.0
917 194.395 3 100 30114.75
918 194.37 1 50 30112.25
919 194.34 -1 100 30110.75
920 194.37 -3 150 30113.75
921 194.305 -5 150 30104.0
922 194.37 -3 150 30113.75
923 194.37 -3 150 30113.75
924 194.39 3 100 30116.75
925 194.4 5 50 30117.75
926 194.48 3 0 30121.75
927 194.44 3 0 30121.75
928 194.39 1 0 30121.75
929 194.39 -1 50 30121.75
930 194.19 -3 100 30111.75
931 194.26 -3 150 30118.75
932 194.26 -3 150 30118.75
933 194.32 1 100 30127.75
934 194.22 3 50 30117.75
935 194.13 -1 100 30113.25
936 194.17 -3 150 30117.249999999996
937 194.12 -3 150 30109.75
938 194.07 -5 150 30102.25
939 193.9 -1 150 30076.75
940 193.95 -3 150 30084.25
941 193.97 -1 150 30087.25
942 193.99 1 100 30090.25
943 194.01 3 50 30092.25
944 193.95 1 0 30089.25
945 193.97 -1 50 30089.25
946 193.92 -3 100 30086.75
947 193.82 -3 150 30076.75
948 193.88 -3 150 30085.75
949 193.775 -3 150 30070.0
950 193.64 -5 150 30049.749999999996
951 193.75 -3 150 30066.25
952 193.77 -1 150 30069.25
953 193.79 3 100 30072.25
954 193.77 3 50 30070.25
955 193.77 3 0 30070.25
956 193.79 1 0 30070.25
957 193.69 1 0 30070.25
958 193.68 -5 50 30070.25
959 193.94 -1 100 30083.25
