time stock-price decision_max decision number-of-stocks portfolio-value
570 198.455 -9 0 0 30000.0
571 198 -9 0 0 30000
572 198.36 -7 0 0 30000.0
573 198.49 -3 0 0 30000.0
574 198.36 -5 0 0 30000.0
575 197.725 -9 0 0 30000.0
576 197.81 -7 0 0 30000.0
577 197.94 -5 0 0 30000.0
578 198.43 -1 0 0 30000.0
579 198.65 7 0 0 30000.0
580 198.8 9 0 0 30000.0
581 198.76 7 0 0 30000.0
582 198.7 5 0 0 30000.0
583 198.46 1 0 0 30000.0
584 198.29 -3 0 0 30000.0
585 198.44 -3 5 0 30000.0
586 198.47 -1 5 0 30000.0
587 198.5 -1 -1 37 30000.0
588 198.53 1 -5 74 30001.11
589 198.24 -7 -1 111 29979.649999999998
590 197.7 -9 5 74 29919.71
591 197.71 -7 5 37 29920.45
592 197.68 -9 5 0 29919.34
593 197.38 -9 5 0 29919.34
594 197.5 -7 1 0 29919.34
595 197.52 -5 -1 37 29919.34
596 197.51 -5 -1 74 29918.97
597 197.61 1 -5 111 29926.370000000003
598 197.765 5 -5 148 29943.574999999997
599 197.51 1 -1 148 29905.835
600 197.21 -9 5 111 29861.435
601 197.24 -7 5 74 29864.765
602 197.45 -5 5 37 29880.305
603 197.65 -1 -1 74 29887.705
604 197.51 -1 -5 111 29877.345
605 197.25 -3 -3 148 29848.485
606 197.18 -9 3 111 29838.125
607 197.12 -9 5 74 29831.465
608 197.09 -9 5 37 29829.245000000003
609 196.91 -9 5 0 29822.585
610 196.73 -9 5 0 29822.585
611 196.86 -7 5 0 29822.585
612 196.6 -9 5 0 29822.585
613 196.61 -7 5 0 29822.585
614 196.07 -9 5 0 29822.585
615 196.11 -7 5 0 29822.585
616 195.77 -9 5 0 29822.585
617 195.94 -7 5 0 29822.585
618 196.28 -1 -5 37 29822.585
619 196.22 -1 -5 74 29820.364999999998
620 196.07 -1 -5 112 29809.265
621 196.09 1 -3 150 29811.504999999997
622 196.1 3 3 112 29813.005
623 195.9 -3 5 74 29790.605
624 195.89 -9 5 36 29789.864999999998
625 196.14 -1 -1 73 29798.864999999998
626 196.26 3 -5 110 29807.624999999996
627 196.28 7 -5 147 29809.824999999997
628 195.72 -7 5 109 29727.504999999997
629 195.64 -9 5 72 29718.784999999996
630 195.6 -9 5 35 29715.905
631 195.55 -9 5 0 29714.155
632 195.45 -9 3 0 29714.155
633 195.15 -9 5 0 29714.155
634 195 -9 5 0 29714.155
635 194.8 -9 5 0 29714.155
636 194.5 -9 5 0 29714.155
637 194.66 -7 5 0 29714.155
638 193.65 -9 5 0 29714.155
639 193.92 -7 5 0 29714.155
640 193.21 -9 5 0 29714.155
641 193.29 -7 5 0 29714.155
642 193.46 -5 1 0 29714.155
643 193.58 -3 -3 38 29714.155
644 193.63 -1 -5 76 29716.055
645 193.8 5 -5 114 29728.975
646 193.82 7 -5 152 29731.254999999997
647 194.14 9 -5 152 29779.894999999997
648 193.97 7 -5 152 29754.054999999997
649 193.7 1 5 114 29713.015
650 194.05 7 -5 152 29752.915
651 194.14 9 5 114 29766.594999999998
652 193.83 3 3 76 29731.255
653 193.9 1 -3 114 29736.575
654 193.93 1 3 76 29739.995
655 193.81 -9 5 38 29730.874999999996
656 193.87 -7 1 0 29733.155
657 193.725 -9 3 0 29733.155
658 193.76 -7 5 0 29733.155
659 193.73 -7 3 0 29733.155
660 193.85 -3 -1 38 29733.155
661 193.6 -9 3 0 29723.655
662 193.28 -9 5 0 29723.655
663 193.66 -5 5 0 29723.655
664 194.02 3 -5 38 29723.655
665 194.42 9 -5 76 29738.854999999996
666 194.29 7 -5 114 29728.974999999995
