time stock-price decision number-of-stocks portfolio-value
570 194.76 -1 50 30000.0
571 195.1 5 0 30017.0
572 195.17 5 0 30017.0
573 195.2 5 0 30017.0
574 195.31 5 0 30017.0
575 195.38 5 0 30017.0
576 195.07 1 0 30017.0
577 194.62 -1 50 30017.0
578 194.29 -5 100 30000.5
579 194.13 -5 150 29984.5
580 194.37 -3 150 30020.5
581 194.19 -1 150 29993.5
582 194.63 1 100 30059.5
583 194.66 5 50 30062.5
584 194.31 1 0 30045.0
585 194.62 1 0 30045.0
586 194.54 -1 50 30045.0
587 194.325 1 0 30034.25
588 194.53 -3 50 30034.25
589 194.64 -1 100 30039.75
590 194.38 1 50 30013.75
591 194.48 -1 100 30018.75
592 194.58 -1 150 30028.750000000004
593 194.53 -1 150 30021.25
594 194.755 3 100 30055.0
595 194.83 5 50 30062.5
596 194.93 5 0 30067.5
597 194.77 3 0 30067.5
598 194.475 -1 50 30067.5
599 194.42 -5 100 30064.75
600 194.59 -1 150 30081.75
601 194.7 1 100 30098.25
602 194.71 3 50 30099.25
603 194.74 5 0 30100.75
604 195.07 3 0 30100.75
605 194.97 3 0 30100.75
606 195.02 3 0 30100.75
607 194.53 -1 50 30100.75
608 194.43 -3 100 30095.75
609 194.74 -1 150 30126.75
610 194.57 -1 150 30101.25
611 194.34 -1 150 30066.75
612 194.42 -3 150 30078.749999999996
613 194.49 -1 150 30089.25
614 194.78 1 100 30132.75
615 194.9 3 50 30144.75
616 194.81 3 0 30140.25
617 194.83 3 0 30140.25
618 195.05 1 0 30140.25
619 194.87 3 0 30140.25
620 195.15 1 0 30140.25
621 195.34 5 0 30140.25
622 195.45 5 0 30140.25
623 195.38 3 0 30140.25
624 195.51 3 0 30140.25
625 195.57 5 0 30140.25
626 195.69 5 0 30140.25
627 195.65 3 0 30140.25
628 195.77 5 0 30140.25
629 195.935 5 0 30140.25
630 195.78 3 0 30140.25
631 195.92 3 0 30140.25
632 195.94 3 0 30140.25
633 195.71 1 0 30140.25
634 195.65 -1 50 30140.25
635 195.65 -5 100 30140.25
636 195.55 -5 150 30130.25
637 195.61 -3 150 30139.250000000004
638 195.73 -1 150 30157.25
