time stock-price avg-price-5-min avg-price-10-5-min avg-vol-10-min avg-vol-20-10-min number-of-stocks portfolio-value 
570 222.73 218.346 217.388 1051.4 1340.7 0 30000.0
571 221.625 219.20300000000003 217.372 1197.5 1421.2 0 30000.0
572 221.03 219.925 217.37400000000002 1296.7 1433.2 0 30000.0
573 219.9 220.467 217.32599999999996 1359.5 1195.6 0 30000.0
574 219.96 221.04899999999998 217.266 1429.2 699.4 0 30000.0
575 221.19 220.74099999999999 218.346 1528.1 553.8 0 30000.0
576 221.27 220.67 219.20300000000003 1530.9 642.6 0 30000.0
577 222.15 220.894 219.925 1666.0 640.6 0 30000.0
578 221.81 221.27599999999998 220.467 1834.8 750.3 0 30000.0
579 222.65 221.81400000000002 221.04899999999998 1918.2 908.1 0 30000.0
580 221.65 221.906 220.74099999999999 1993.3 1051.4 0 30000.0
581 221.91 222.03400000000002 220.67 1998.1 1197.5 0 30000.0
582 222.235 222.05100000000002 220.894 2030.7 1296.7 0 30000.0
583 221.4 221.969 221.27599999999998 2492.2 1359.5 0 30000.0
584 220.7 221.579 221.81400000000002 2452.3 1429.2 25 30000.0
585 220.21 221.291 221.906 2403.3 1523.4 50 29987.75
586 220.52 221.013 222.03400000000002 2398.2 1530.9 75 30003.25
587 218.63 220.292 222.05100000000002 2452.5 1666.0 100 29861.5
588 218.89 219.78999999999996 221.969 2429.3 1834.8 125 29887.5
589 218.16 219.282 221.579 2267.6 1918.2 150 29796.25
590 217.905 218.821 221.291 2093.1 1993.3 175 29758.0
591 218.625 218.442 221.013 2105.7 1998.1 200 29884.0
592 218.38 218.392 220.292 2073.8 2030.7 225 29835.0
593 217.99 218.212 219.78999999999996 1661.2 2492.2 0 29747.25
594 217.39 218.058 219.282 1638.7 2452.3 0 29747.25
595 217.1 217.897 218.821 1564.8 2403.3 0 29747.25
596 216.76 217.52399999999997 218.442 1574.8 2398.2 0 29747.25
597 216.53 217.154 218.392 1367.1 2452.5 0 29747.25
598 216.13 216.78199999999998 218.212 1445.2 2429.3 0 29747.25
599 216.05 216.51399999999998 218.058 1432.5 2267.6 0 29747.25
600 216.38 216.36999999999998 217.897 1423.1 2093.1 0 29747.25
601 216.32 216.282 217.52399999999997 1366.6 2105.7 0 29747.25
602 217.57 216.48999999999995 217.154 1645.2 2073.8 0 29747.25
603 217.73 216.81 216.78199999999998 1599.9 1661.2 0 29747.25
604 217.28 217.05599999999998 216.51399999999998 1530.4 1638.7 0 29747.25
605 217.65 217.31 216.36999999999998 1502.4 1564.8 0 29747.25
606 217.41 217.52799999999996 216.282 1435.9 1574.8 0 29747.25
607 217.5 217.51399999999998 216.48999999999995 1481.8 1367.1 0 29747.25
608 216.51 217.26999999999998 216.81 1378.7 1445.2 0 29747.25
609 216.36 217.08599999999996 217.05599999999998 1478.0 1432.5 0 29747.25
610 216.32 216.82 217.31 1427.4 1423.1 25 29747.25
611 216.35 216.608 217.52799999999996 1279.5 1366.6 0 29748.0
612 216.46 216.4 217.51399999999998 911.8 1645.2 0 29748.0
613 217.24 216.546 217.26999999999998 926.8 1599.9 0 29748.0
614 217.09 216.692 217.08599999999996 1068.0 1530.4 0 29748.0
615 216.09 216.64600000000002 216.82 1027.4 1502.4 0 29748.0
616 216.29 216.63400000000001 216.608 1114.7 1435.9 0 29748.0
617 216.47 216.63600000000002 216.4 1116.6 1481.8 0 29748.0
618 215.74 216.336 216.546 1035.2 1378.7 0 29748.0
619 214.97 215.91199999999998 216.692 941.8 1478.0 0 29748.0
620 214.64 215.622 216.64600000000002 919.3 1427.4 0 29748.0
621 214.425 215.24900000000002 216.63400000000001 1097.6 1279.5 0 29748.0
622 213.94 214.74300000000002 216.63600000000002 1211.5 911.8 25 29748.0
623 214.4 214.47500000000005 216.336 1212.2 926.8 50 29759.5
624 212.74 214.029 215.91199999999998 1140.7 1068.0 75 29676.5
625 213.24 213.74899999999997 215.622 1238.8 1027.4 100 29714.0
626 212.7 213.404 215.24900000000002 1176.6 1114.7 125 29660.0
