time stock-price decision number-of-stocks portfolio-value
570 195.74 1 0 30000.0
571 195.64 3 0 30000.0
572 196.26 5 0 30000.0
573 196.6 5 0 30000.0
574 196.59 3 0 30000.0
575 196.91 5 0 30000.0
576 196.88 3 0 30000.0
577 196.74 1 0 30000.0
578 196.835 1 0 30000.0
579 197.58 -1 50 30000.0
580 198.205 3 0 30031.25
581 198.24 5 0 30031.25
582 198.63 5 0 30031.25
583 198.97 5 0 30031.25
584 198.75 3 0 30031.25
585 198.94 3 0 30031.25
586 199.06 3 0 30031.25
587 199.32 3 0 30031.25
588 199.71 3 0 30031.25
589 199.7 3 0 30031.25
590 199.76 5 0 30031.25
591 199.68 3 0 30031.25
592 199.42 -1 50 30031.25
593 199.39 -5 100 30029.75
594 199.34 -5 150 30024.75
595 199.18 -5 150 30000.75
596 198.85 -5 150 29951.25
597 198.88 -3 150 29955.75
598 199.09 -1 150 29987.25
599 199.2 1 100 30003.75
600 199.3 3 50 30013.75
601 199.63 5 0 30030.25
602 199.61 3 0 30030.25
603 199.54 1 0 30030.25
604 199.65 1 0 30030.25
605 199.78 3 0 30030.25
606 199.44 1 0 30030.25
607 199.52 -1 50 30030.25
608 199.4 -1 100 30024.25
609 199.35 -5 150 30019.25
610 199.33 -5 150 30016.250000000004
611 199.32 -5 150 30014.75
612 199.43 -1 150 30031.25
613 199.52 3 100 30044.75
614 199.445 3 50 30037.25
615 199.3 1 0 30030.0
616 199.42 -3 50 30030.0
617 199.52 -1 100 30035.0
618 199.94 1 50 30077.0
619 199.79 3 0 30069.5
620 199.58 1 0 30069.5
621 199.55 -1 50 30069.5
622 199.75 -1 100 30079.5
623 199.76 1 50 30080.5
624 199.4 1 0 30062.5
625 199.315 -3 50 30062.5
626 199.425 -3 100 30068.0
627 199.42 -1 150 30067.499999999996
628 199.38 -1 150 30061.5
629 199.51 1 100 30081.0
630 199.63 1 50 30093.0
631 199.53 3 0 30088.0
632 199.66 3 0 30088.0
633 199.63 3 0 30088.0
634 199.67 3 0 30088.0
635 199.7 5 0 30088.0
636 199.67 3 0 30088.0
637 199.76 3 0 30088.0
638 199.885 1 0 30088.0
639 199.88 3 0 30088.0
640 199.86 1 0 30088.0
641 199.85 -1 50 30088.0
642 199.82 -3 100 30086.5
643 199.83 -3 150 30087.500000000004
644 199.89 -1 150 30096.499999999996
645 199.89 1 100 30096.5
646 199.91 5 50 30098.5
647 199.89 3 0 30097.5
648 199.91 -1 50 30097.5
649 199.96 -1 100 30100.0
650 199.93 3 50 30097.0
651 199.79 1 0 30090.0
652 199.92 -3 50 30090.0
653 200.05 -1 100 30096.5
654 200.19 3 50 30110.5
655 200.14 3 0 30108.0
656 200.23 3 0 30108.0
657 200.1 3 0 30108.0
658 200.06 -3 50 30108.0
659 200.04 -5 100 30107.0
660 200.1 -1 150 30113.0
661 200.13 1 100 30117.5
662 199.99 1 50 30103.5
663 199.82 -1 100 30095.0
664 199.91 -3 150 30104.0
665 200.08 -1 150 30129.500000000004
666 199.97 1 100 30113.0
667 200.11 1 50 30127.0
668 200.1 3 0 30126.5
669 200.05 1 0 30126.5
670 199.98 -1 50 30126.5
671 200.08 -3 100 30131.5
672 199.73 1 50 30096.5
