time stock-price decision_max decision number-of-stocks portfolio-value
570 29.47 -9 0 0 30000.0
571 29.51 -7 0 0 30000.0
572 29.595 -5 0 0 30000.0
573 29.72 -3 0 0 30000.0
574 29.79 -1 0 0 30000.0
575 29.815 3 0 0 30000.0
576 29.8 3 0 0 30000.0
577 29.875 9 0 0 30000.0
578 29.88 9 0 0 30000.0
579 29.83 5 0 0 30000.0
580 29.895 9 0 0 30000.0
581 30 9 0 0 30000
582 30.07 9 0 0 30000.0
583 30.04 7 0 0 30000.0
584 30.04 5 0 0 30000.0
585 29.975 1 5 0 30000.0
586 30.01 1 5 0 30000.0
587 30.06 5 3 0 30000.0
588 30.135 9 0 497 30000.0
589 30.12 7 -5 746 29992.545
590 30.165 9 0 746 30026.114999999998
591 30.22 9 0 746 30067.144999999997
592 30.27 9 0 746 30104.444999999996
593 30.3 9 0 746 30126.824999999997
594 30.3 7 -5 994 30126.824999999997
595 30.34 9 0 994 30166.585
596 30.29 5 5 746 30116.885
597 30.25 -1 5 498 30087.045
598 30.22 -5 5 250 30072.104999999996
599 30.285 -1 5 2 30088.354999999996
600 30.165 -9 0 0 30088.114999999998
601 30.185 -7 5 0 30088.114999999998
602 30.145 -9 0 0 30088.114999999998
603 30.245 -3 1 0 30088.114999999998
604 30.185 -3 -5 249 30088.114999999998
605 30.13 -9 0 0 30074.42
606 30.115 -9 0 0 30074.42
607 30.16 -5 5 0 30074.42
608 30.08 -9 0 0 30074.42
609 30.1 -7 1 0 30074.42
610 30.16 1 -5 249 30074.42
611 30.105 -5 3 0 30060.725
612 30.115 -5 -5 249 30060.725
613 30.11 -5 -3 498 30059.48
614 30.14 3 -1 747 30074.420000000002
615 30.225 9 0 747 30137.915
616 30.21 7 -5 996 30126.71
617 30.17 5 -5 996 30086.870000000003
618 30.15 1 -3 996 30066.949999999997
619 30.195 5 3 748 30111.77
620 30.2 7 3 499 30115.51
621 30.245 9 0 996 30137.964999999997
622 30.23 7 -5 996 30123.025
623 30.245 7 -5 996 30137.964999999997
624 30.175 1 3 747 30068.245
625 30.14 -5 5 498 30042.1
626 30.12 -9 0 0 30032.14
627 30.14 -5 5 0 30032.14
628 30.165 -3 1 0 30032.14
629 30.14 -5 -3 249 30032.14
630 30.145 -3 -5 498 30033.385
631 30.085 -9 0 0 30003.504999999997
632 30.12 -7 3 0 30003.504999999997
633 30.12 -7 3 0 30003.504999999997
634 30.12 -7 5 0 30003.504999999997
635 30.125 1 -5 248 30003.504999999997
636 30.14 5 -3 496 30007.225
637 30.1 -7 3 247 29987.385
638 30.1 -5 5 0 29987.385
639 30.1 -5 5 0 29987.385
640 30.13 -3 -3 248 29987.384999999995
641 30.115 -3 5 0 29983.664999999997
642 30.04 -9 0 0 29983.664999999997
643 30.035 -9 0 0 29983.664999999997
644 30.09 -5 5 0 29983.664999999997
645 30.1 -1 5 0 29983.664999999997
646 30.1 1 -5 249 29983.664999999997
647 30.095 -1 -5 498 29982.42
648 30.105 7 -3 746 29987.399999999998
649 30.095 3 1 497 29979.939999999995
650 30.085 -3 5 248 29974.969999999994
651 30.055 -5 5 0 29967.529999999995
652 30.04 -9 0 0 29967.529999999995
653 30.055 -7 5 0 29967.529999999995
654 30.055 -5 5 0 29967.529999999995
655 30.035 -9 0 0 29967.529999999995
656 30.02 -9 0 0 29967.529999999995
657 29.96 -9 0 0 29967.529999999995
658 29.96 -9 0 0 29967.529999999995
659 29.96 -9 0 0 29967.529999999995
660 29.975 -3 5 0 29967.529999999995
661 29.99 -1 -5 249 29967.529999999995
662 30.005 3 -5 498 29971.265
663 30 3 -5 747 29968.774999999998
664 30.035 9 0 747 29994.92
665 30.1 9 0 747 30043.475
666 30.09 7 -5 996 30036.004999999997
667 30.12 9 0 996 30065.885
668 30.16 9 0 996 30105.725
669 30.14 7 -1 996 30085.805
670 30.12 3 1 747 30065.885
671 30.095 1 5 498 30047.21
672 30.11 -1 5 249 30054.679999999997
673 30.095 -7 5 0 30050.944999999996
674 30.095 -9 0 0 30050.944999999996
675 30.065 -9 0 0 30050.944999999996
676 30.06 -9 0 0 30050.944999999996
677 30.025 -9 0 0 30050.944999999996
678 30 -9 0 0 30050.944999999996
679 29.995 -9 0 0 30050.944999999996
680 29.955 -9 0 0 30050.944999999996
681 29.985 -7 5 0 30050.944999999996
682 29.945 -9 0 0 30050.944999999996
683 29.96 -7 5 0 30050.944999999996
684 29.93 -9 0 0 30050.944999999996
685 29.815 -9 0 0 30050.944999999996
686 29.795 -9 0 0 30050.944999999996
687 29.815 -7 5 0 30050.944999999996
688 29.845 -3 5 0 30050.944999999996
689 29.825 -3 -3 251 30050.944999999996
690 29.795 -5 -5 503 30043.414999999994
691 29.775 -9 0 0 30033.354999999996
692 29.78 -7 3 0 30033.354999999996
693 29.755 -9 0 0 30033.354999999996
694 29.745 -9 0 0 30033.354999999996
695 29.755 -5 -1 252 30033.354999999996
696 29.7 -9 0 0 30019.494999999995
697 29.715 -7 5 0 30019.494999999995
698 29.695 -9 0 0 30019.494999999995
699 29.635 -9 0 0 30019.494999999995
700 29.615 -9 0 0 30019.494999999995
701 29.595 -9 0 0 30019.494999999995
702 29.545 -9 0 0 30019.494999999995
703 29.545 -9 0 0 30019.494999999995
704 29.475 -9 0 0 30019.494999999995
705 29.61 -3 -5 253 30019.494999999995
706 29.6 -1 -5 506 30016.964999999997
707 29.66 7 -5 759 30047.324999999993
708 29.63 7 -5 1012 30024.554999999993
709 29.595 3 -1 1012 29989.134999999995
710 29.565 -1 5 759 29958.774999999998
711 29.59 -1 5 506 29977.749999999993
712 29.54 -5 5 253 29952.449999999993
713 29.42 -9 0 0 29922.089999999997
714 29.45 -7 5 0 29922.089999999997
715 29.46 -5 5 0 29922.089999999997
716 29.4 -9 0 0 29922.089999999997
717 29.4 -9 0 0 29922.089999999997
718 29.4 -9 0 0 29922.089999999997
719 29.385 -9 0 0 29922.089999999997
720 29.335 -9 0 0 29922.089999999997
721 29.45 1 -5 254 29922.089999999997
722 29.49 5 -5 507 29932.249999999996
723 29.505 9 0 1014 29939.854999999996
724 29.5 7 -5 1014 29934.784999999996
725 29.455 3 -3 1014 29889.155
726 29.465 1 3 761 29899.295
727 29.46 -1 5 508 29895.489999999998
728 29.415 -5 5 254 29872.629999999997
729 29.41 -7 5 1 29871.359999999997
730 29.355 -9 0 0 29871.304999999997
731 29.37 -7 5 0 29871.304999999997
732 29.38 -5 3 0 29871.304999999997
733 29.38 -5 3 0 29871.304999999997
734 29.385 -3 1 0 29871.304999999997
735 29.39 -1 -5 254 29871.304999999997
736 29.36 -7 -3 508 29863.684999999998
737 29.335 -9 0 0 29850.984999999997
738 29.34 -7 5 0 29850.984999999997
739 29.32 -9 0 0 29850.984999999997
740 29.31 -9 0 0 29850.984999999997
741 29.27 -9 0 0 29850.984999999997
742 29.28 -7 5 0 29850.984999999997
743 29.25 -9 0 0 29850.984999999997
744 29.28 -5 5 0 29850.984999999997
745 29.285 -1 -5 254 29850.984999999997
746 29.27 -3 -3 508 29847.174999999996
747 29.31 5 -5 762 29867.494999999995
748 29.345 9 0 762 29894.164999999997
749 29.335 7 -5 1016 29886.545
750 29.33 5 -5 1016 29881.464999999997
751 29.37 9 0 1016 29922.105
752 29.33 5 5 761 29881.464999999997
753 29.315 -1 5 507 29870.049999999996
