time stock-price decision_max decision number-of-stocks portfolio-value
570 198.455 0 0 0 30000.0
571 198 0 0 0 30000
572 198.36 0 0 0 30000.0
573 198.49 0 0 0 30000.0
574 198.36 0 0 0 30000.0
575 197.725 0 0 0 30000.0
576 197.81 0 0 0 30000.0
577 197.94 0 0 0 30000.0
578 198.43 0 0 0 30000.0
579 198.65 0 0 0 30000.0
580 198.8 0 0 0 30000.0
581 198.76 0 0 0 30000.0
582 198.7 0 0 0 30000.0
583 198.46 0 0 0 30000.0
584 198.29 0 0 0 30000.0
585 198.44 0 -3 37 30000.0
586 198.47 0 -1 74 30001.11
587 198.5 0 3 37 30003.33
588 198.53 0 5 0 30004.440000000002
589 198.24 0 1 0 30004.440000000002
590 197.7 0 -1 37 30004.440000000002
591 197.71 0 -3 74 30004.81
592 197.68 0 -5 111 30002.59
593 197.38 0 -5 149 29969.29
594 197.5 0 -3 149 29987.170000000002
595 197.52 0 -1 149 29990.150000000005
596 197.51 0 -1 149 29988.66
597 197.61 0 3 112 30003.56
598 197.765 0 5 75 30020.92
599 197.51 0 3 38 30001.795
600 197.21 0 -1 76 29990.395000000004
601 197.24 0 -3 114 29992.675000000003
602 197.45 0 -1 151 30016.614999999998
603 197.65 0 1 114 30046.815000000002
604 197.51 0 3 76 30030.855
605 197.25 0 1 38 30011.095
606 197.18 0 0 0 30008.435
607 197.12 0 0 0 30008.435
608 197.09 0 0 0 30008.435
609 196.91 0 0 0 30008.435
610 196.73 0 0 0 30008.435
611 196.86 0 -3 38 30008.435
612 196.6 0 -5 76 29998.555
613 196.61 0 -3 114 29999.315000000002
614 196.07 0 -1 152 29937.755
615 196.11 0 -3 152 29943.835000000003
616 195.77 0 -5 152 29892.155000000002
617 195.94 0 -3 152 29917.995000000003
618 196.28 0 -1 152 29969.675000000003
619 196.22 0 1 114 29960.555
620 196.07 0 1 76 29943.455
621 196.09 0 1 38 29944.975
622 196.1 0 1 0 29945.355
623 195.9 0 -3 38 29945.355
624 195.89 0 -5 76 29944.975
625 196.14 0 -1 114 29963.975
626 196.26 0 1 76 29977.655
627 196.28 0 5 38 29979.175
628 195.72 0 1 0 29957.895
629 195.64 0 -3 38 29957.895
630 195.6 0 0 0 29956.375
631 195.55 0 0 0 29956.375
632 195.45 0 0 0 29956.375
633 195.15 0 0 0 29956.375
634 195 0 0 0 29956.375
635 194.8 0 0 0 29956.375
636 194.5 0 0 0 29956.375
637 194.66 0 -3 38 29956.375
638 193.65 0 -1 76 29917.994999999995
639 193.92 0 -3 114 29938.514999999996
640 193.21 0 -5 152 29857.575
641 193.29 0 -3 152 29869.734999999997
642 193.46 0 -1 152 29895.575
643 193.58 0 1 114 29913.815000000002
644 193.63 0 3 76 29919.515
645 193.8 0 5 38 29932.435
646 193.82 0 5 0 29933.195
647 194.14 0 5 0 29933.195
648 193.97 0 3 0 29933.195
649 193.7 0 1 0 29933.195
650 194.05 0 -3 38 29933.195
651 194.14 0 1 0 29936.614999999998
652 193.83 0 1 0 29936.614999999998
653 193.9 0 1 0 29936.614999999998
654 193.93 0 1 0 29936.614999999998
655 193.81 0 -3 38 29936.614999999998
656 193.87 0 -3 76 29938.894999999997
657 193.725 0 -3 114 29927.874999999996
658 193.76 0 -3 152 29931.864999999994
659 193.73 0 -3 152 29927.304999999997
660 193.85 0 1 114 29945.545
661 193.6 0 1 76 29917.045
662 193.28 0 -1 114 29892.725000000002
663 193.66 0 -3 152 29936.045
664 194.02 0 1 114 29990.765000000003
665 194.42 0 3 76 30036.364999999998
666 194.29 0 3 38 30026.485
667 194.29 0 1 0 30026.485
668 194.29 0 -1 38 30026.485
669 194.41 0 3 0 30031.045
670 194.66 0 1 0 30031.045
671 194.49 0 3 0 30031.045
672 194.33 0 1 0 30031.045
673 194.08 0 0 0 30031.045
674 193.9 0 0 0 30031.045
675 193.67 0 0 0 30031.045
676 193.96 0 -3 38 30031.045
677 194.09 0 1 0 30035.985
678 194.005 0 1 0 30035.985
679 194.31 0 3 0 30035.985
680 194.47 0 5 0 30035.985
681 194.52 0 5 0 30035.985
682 194.32 0 1 0 30035.985
683 194.35 0 1 0 30035.985
684 194.27 0 -3 38 30035.985
685 194.24 0 -5 76 30034.845
686 194.3 0 -3 114 30039.405
687 194.42 0 1 76 30053.084999999995
688 194.39 0 3 38 30050.804999999997
689 193.87 0 1 0 30031.045
690 193.7 0 0 0 30031.045
691 193.96 0 -3 38 30031.045
692 194.16 0 1 0 30038.644999999997
693 194.07 0 1 0 30038.644999999997
694 193.94 0 1 0 30038.644999999997
695 194.05 0 -1 38 30038.644999999997
696 194.11 0 -1 76 30040.924999999996
697 194.16 0 3 38 30044.725
698 194.4 0 3 0 30053.844999999998
699 194.41 0 5 0 30053.844999999998
700 194.3 0 1 0 30053.844999999998
701 194.43 0 1 0 30053.844999999998
702 194.11 0 1 0 30053.844999999998
703 193.35 0 -1 38 30053.844999999998
704 193.8 0 -3 76 30070.945
705 193.7 0 -3 114 30063.344999999998
706 193.62 0 -3 152 30054.225
707 193.72 0 -1 152 30069.424999999996
708 193.37 0 1 114 30016.225
709 193.13 0 -3 152 29988.864999999998
710 193.35 0 -3 152 30022.305
711 193.96 0 -1 152 30115.025
712 193.92 0 1 114 30108.944999999992
713 193.82 0 1 76 30097.545
714 194.3 0 3 38 30134.024999999998
715 193.72 0 3 0 30111.984999999997
716 193.82 0 1 0 30111.984999999997
717 193.8 0 -3 38 30111.984999999997
718 194.04 0 1 0 30121.104999999996
719 194.21 0 3 0 30121.104999999996
720 194.51 0 5 0 30121.104999999996
721 194.79 0 5 0 30121.104999999996
722 194.61 0 3 0 30121.104999999996
723 194.8 0 3 0 30121.104999999996
724 194.78 0 3 0 30121.104999999996
725 194.83 0 5 0 30121.104999999996
726 194.66 0 1 0 30121.104999999996
727 194.58 0 -3 38 30121.104999999996
728 194.45 0 0 0 30116.164999999994
729 194.41 0 0 0 30116.164999999994
730 194.56 0 -1 38 30116.164999999994
731 194.72 0 1 0 30122.244999999995
732 194.99 0 3 0 30122.244999999995
733 195.07 0 5 0 30122.244999999995
734 194.89 0 1 0 30122.244999999995
735 195.31 0 3 0 30122.244999999995
736 195.59 0 5 0 30122.244999999995
737 195.5 0 3 0 30122.244999999995
738 195.39 0 1 0 30122.244999999995
739 195.255 0 0 0 30122.244999999995
740 195.42 0 -3 38 30122.244999999995
741 195.2 0 -1 76 30113.884999999995
742 195.205 0 -3 114 30114.265
743 195.575 0 -1 152 30156.444999999996
744 195.3 0 3 114 30114.644999999997
745 195.29 0 1 76 30113.504999999997
746 195.35 0 1 38 30118.064999999995
747 195.73 0 1 0 30132.504999999997
748 195.45 0 3 0 30132.504999999997
749 195.35 0 1 0 30132.504999999997
750 195.4 0 -1 38 30132.504999999997
751 195.59 0 -1 76 30139.725
752 195.55 0 1 38 30136.684999999998
753 195.86 0 3 0 30148.464999999997
754 195.88 0 5 0 30148.464999999997
755 195.88 0 5 0 30148.464999999997
756 195.68 0 1 0 30148.464999999997
757 195.75 0 -1 38 30148.464999999997
758 195.81 0 -1 76 30150.744999999995
