time stock-price decision number-of-stocks portfolio-value
570 191.97 1 0 30000.0
571 192.305 5 0 30000.0
572 191.96 3 0 30000.0
573 192.45 1 0 30000.0
574 192.63 5 0 30000.0
575 192.23 1 0 30000.0
576 192.17 -1 50 30000.0
577 192.22 -1 100 30002.5
578 192.23 -1 150 30003.5
579 192.09 -1 150 29982.5
580 192.35 -3 150 30021.5
581 192.69 1 100 30072.5
582 192.51 3 50 30054.5
583 192.65 3 0 30061.5
584 192.77 3 0 30061.5
585 192.83 5 0 30061.5
586 192.93 5 0 30061.5
587 192.71 1 0 30061.5
588 192.52 -1 50 30061.5
589 192.53 -3 100 30062.0
590 192.23 -5 150 30032.0
591 192.52 -3 150 30075.5
592 192.25 -3 150 30035.0
593 192.35 -1 150 30050.0
594 192.3 -1 150 30042.5
595 192.45 1 100 30065.0
596 192.64 3 50 30084.0
597 192.54 3 0 30079.0
598 192.49 1 0 30079.0
599 192.7 1 0 30079.0
600 192.67 3 0 30079.0
601 192.94 3 0 30079.0
602 192.89 3 0 30079.0
603 192.91 3 0 30079.0
604 193.05 3 0 30079.0
605 193.33 1 0 30079.0
606 193.23 3 0 30079.0
607 193.11 1 0 30079.0
608 193.21 1 0 30079.0
609 193.39 -1 50 30079.0
610 193.445 3 0 30081.75
611 193.47 5 0 30081.75
612 193.62 5 0 30081.75
613 193.515 3 0 30081.75
614 193.39 1 0 30081.75
615 193.45 -3 50 30081.75
616 193.51 -1 100 30084.75
617 193.7 1 50 30103.75
618 193.58 3 0 30097.75
619 193.57 1 0 30097.75
620 193.63 3 0 30097.75
621 193.59 1 0 30097.75
622 193.64 1 0 30097.75
623 193.815 1 0 30097.75
624 193.855 5 0 30097.75
625 193.91 5 0 30097.75
626 193.68 1 0 30097.75
627 193.71 -1 50 30097.75
628 193.65 -5 100 30094.75
629 193.84 -1 150 30113.75
630 193.55 3 100 30070.25
631 193.53 -3 150 30068.25
632 193.51 -5 150 30065.25
633 193.4 -5 150 30048.75
634 193.46 -3 150 30057.75
635 193.37 -3 150 30044.25
636 193.34 -5 150 30039.75
637 193.2 -5 150 30018.75
638 193.065 -5 150 29998.5
639 193.11 -3 150 30005.250000000004
640 193.17 -1 150 30014.249999999996
641 193.11 -1 150 30005.250000000004
642 193.45 1 100 30056.25
643 193.49 5 50 30060.25
644 193.57 5 0 30064.25
645 193.6 5 0 30064.25
646 193.79 5 0 30064.25
647 193.86 5 0 30064.25
648 193.97 5 0 30064.25
649 193.91 3 0 30064.25
650 193.68 1 0 30064.25
651 193.67 -3 50 30064.25
652 193.72 -1 100 30066.75
653 193.64 -1 150 30058.749999999996
654 193.76 -3 150 30076.75
655 193.55 3 100 30045.25
656 193.58 -3 150 30048.250000000004
657 193.45 -5 150 30028.75
658 193.64 -3 150 30057.249999999996
659 193.46 1 100 30030.25
660 193.605 -1 150 30044.75
661 193.7 1 100 30059.0
662 193.745 5 50 30063.5
663 193.74 3 0 30063.25
664 193.75 3 0 30063.25
665 193.72 1 0 30063.25
666 193.83 -1 50 30063.25
667 193.68 3 0 30055.75
668 193.81 -3 50 30055.75
669 193.87 -1 100 30058.75
670 193.96 3 50 30067.75
671 194.02 5 0 30070.75
672 194.13 5 0 30070.75
673 194.05 3 0 30070.75
674 194.25 5 0 30070.75
675 194.16 3 0 30070.75
676 194.15 1 0 30070.75
677 194.15 -1 50 30070.75
678 194.16 1 0 30071.25
679 194.27 1 0 30071.25
680 194.23 3 0 30071.25
681 194.1 1 0 30071.25
682 194.12 -1 50 30071.25
683 194.22 -1 100 30076.25
684 194.22 1 50 30076.25
685 194.29 3 0 30079.75
686 194.09 1 0 30079.75
687 194.09 -1 50 30079.75
688 194.18 -1 100 30084.25
689 194.23 1 50 30089.25
690 194.4 3 0 30097.75
691 194.52 5 0 30097.75
692 194.68 5 0 30097.75
693 194.79 5 0 30097.75
694 194.51 1 0 30097.75
695 194.49 -1 50 30097.75
696 194.4 -3 100 30093.25
697 194.37 -5 150 30090.25
698 194.37 -5 150 30090.25
699 194.47 -1 150 30105.25
700 194.55 3 100 30117.25
701 194.59 5 50 30121.25
702 194.72 5 0 30127.75
703 194.75 5 0 30127.75
704 194.93 5 0 30127.75
705 194.85 3 0 30127.75
706 194.9 3 0 30127.75
707 194.945 3 0 30127.75
708 194.97 5 0 30127.75
709 194.96 3 0 30127.75
710 194.98 3 0 30127.75
711 194.98 5 0 30127.75
712 195.1 1 0 30127.75
713 195.19 3 0 30127.75
714 195.18 3 0 30127.75
715 195.29 5 0 30127.75
716 195.24 3 0 30127.75
717 195.15 1 0 30127.75
718 195.12 -3 50 30127.75
719 195.13 -3 100 30128.25
720 195.02 -5 150 30117.25
721 194.9 -5 150 30099.25
722 194.97 -3 150 30109.75
723 195.26 -1 150 30153.25
724 195.18 3 100 30141.25
725 195.2 3 50 30143.25
726 195.2 1 0 30143.25
727 195.23 3 0 30143.25
728 195.08 1 0 30143.25
729 194.97 -3 50 30143.25
730 194.895 -5 100 30139.5
731 194.9 -3 150 30140.0
732 194.82 -5 150 30128.0
733 194.84 -3 150 30131.0
734 194.8 -5 150 30125.0
735 194.83 -3 150 30129.500000000004
736 194.86 -1 150 30134.000000000004
737 194.69 1 100 30108.5
738 194.68 -5 150 30107.5
739 194.73 -1 150 30115.0
740 194.69 -1 150 30109.0
741 194.44 1 100 30071.5
742 194.46 -3 150 30073.5
743 194.43 -3 150 30069.0
744 194.245 -5 150 30041.25
745 194.24 -5 150 30040.5
746 194.27 -1 150 30045.0
747 194.31 1 100 30051.0
748 194.375 3 50 30057.5
749 194.3 3 0 30053.75
750 194.32 1 0 30053.75
751 194.22 -1 50 30053.75
752 194.23 -3 100 30054.25
753 193.94 -1 150 30025.25
754 194 -3 150 30034.25
755 193.97 -3 150 30029.75
756 193.83 -3 150 30008.750000000004
757 193.8 -5 150 30004.25
758 193.94 -1 150 30025.25
759 194.05 1 100 30041.75
760 194.07 5 50 30043.75
761 194.16 5 0 30048.25
762 194.05 3 0 30048.25
763 193.99 -1 50 30048.25
764 193.82 -3 100 30039.75
765 193.75 -5 150 30032.75
766 193.92 -1 150 30058.249999999996
767 193.84 -1 150 30046.25
768 193.8 -1 150 30040.25
769 193.94 -1 150 30061.25
770 193.85 3 100 30047.75
771 193.72 1 50 30034.75
772 193.7 -3 100 30033.75
773 193.82 -1 150 30045.75
774 193.88 1 100 30054.75
775 193.81 3 50 30047.75
776 193.53 -1 100 30033.75
777 193.71 -3 150 30051.75
778 193.62 -3 150 30038.25
779 193.615 -3 150 30037.5
780 193.64 1 100 30041.25
781 193.79 1 50 30056.25
782 193.87 3 0 30060.25
783 194.01 5 0 30060.25
784 193.95 3 0 30060.25
785 193.88 1 0 30060.25
786 193.87 -1 50 30060.25
787 193.84 -5 100 30058.75
788 193.83 -5 150 30057.750000000004
789 193.79 -5 150 30051.75
790 193.86 -3 150 30062.250000000004
791 194 1 100 30083.25
792 193.97 3 50 30080.25
793 193.79 1 0 30071.25
794 193.83 -1 50 30071.25
795 193.685 -3 100 30064.0
796 193.67 -5 150 30062.499999999996
797 193.67 -5 150 30062.499999999996
798 193.61 -5 150 30053.500000000004
799 193.42 -1 150 30024.999999999996
800 193.42 -5 150 30024.999999999996
801 193.55 -1 150 30044.5
802 193.58 1 100 30049.0
803 193.6 3 50 30051.0
804 193.39 1 0 30040.5
805 193.47 -1 50 30040.5
806 193.39 -3 100 30036.5
807 193.345 -5 150 30032.0
808 193.29 -5 150 30023.75
809 193.32 -3 150 30028.25
810 193.46 -1 150 30049.25
811 193.3 3 100 30025.25
812 193.2 -1 150 30015.25
813 193.295 -3 150 30029.499999999996
814 193.17 -3 150 30010.749999999996
815 193.28 -3 150 30027.25
816 193.23 -1 150 30019.75
817 193.17 1 100 30010.75
818 193.12 -3 150 30005.75
819 193.14 -3 150 30008.749999999996
820 193.28 -1 150 30029.75
821 193.27 1 100 30028.25
822 193.23 1 50 30024.25
823 193.07 -1 100 30016.25
824 192.91 -3 150 30000.25
825 192.89 -5 150 29997.249999999996
826 192.83 -5 150 29988.250000000004
827 192.98 -1 150 30010.75
828 192.97 1 100 30009.25
829 192.97 1 50 30009.25
830 192.99 3 0 30010.25
831 192.85 1 0 30010.25
832 192.77 -3 50 30010.25
833 192.88 -3 100 30015.75
834 192.7 -1 150 29997.75
