time stock-price decision number-of-stocks portfolio-value
570 199.34 -3 0 30000.0
571 199.16 5 50 30000.0
572 199.16 7 100 30000.0
573 198.88 3 150 29972.0
574 198.79 1 150 29958.5
575 198.5 -1 100 29915.0
576 198.77 -3 50 29942.0
577 198.16 1 100 29911.5
578 198.55 -7 50 29950.5
579 198.45 -7 0 29945.5
580 198.44 -7 0 29945.5
581 198.18 -1 0 29945.5
582 198.28 -5 0 29945.5
583 198.35 -5 0 29945.5
584 198.14 -1 0 29945.5
585 198.14 -3 0 29945.5
586 197.94 1 50 29945.5
587 198.23 -7 0 29960.0
588 198.405 -3 0 29960.0
589 198.47 1 50 29960.0
590 198.28 5 100 29950.5
591 198.33 5 150 29955.500000000004
592 198.36 5 150 29960.000000000004
593 198.29 1 150 29949.5
594 198.17 3 150 29931.499999999996
595 198.03 1 150 29910.5
596 198.09 -7 100 29919.5
597 198.33 -5 50 29943.5
598 198.32 -3 0 29943.0
599 198.39 1 50 29943.0
600 198.38 3 100 29942.5
601 198.17 5 150 29921.499999999996
602 198.25 1 150 29933.5
603 198.01 1 150 29897.5
604 198.42 -7 100 29959.0
605 198.43 -1 50 29960.0
606 198.505 1 100 29963.75
607 198.46 3 150 29959.25
608 198.39 5 150 29948.749999999996
609 198.2 3 150 29920.25
610 198.19 -1 100 29918.75
611 198.135 -5 50 29913.25
612 198.17 -5 0 29915.0
613 198.16 -7 0 29915.0
614 198.28 -3 0 29915.0
615 198.285 1 50 29915.0
616 198.12 5 100 29906.75
617 198.05 3 150 29899.75
618 198.2 -5 100 29922.25
619 198.28 -3 50 29930.25
620 198.3 -1 0 29931.25
621 198.31 3 50 29931.25
622 198.33 5 100 29932.25
623 198.28 5 150 29927.25
624 198.25 3 150 29922.75
625 198.18 1 150 29912.25
626 198.215 -3 100 29917.5
627 198.235 -5 50 29919.5
628 198.25 -3 0 29920.25
629 198.3 -1 0 29920.25
630 198.43 -1 0 29920.25
631 198.46 3 50 29920.25
632 198.43 7 100 29918.75
633 198.29 5 150 29904.75
634 198.26 1 150 29900.25
635 198.39 -1 100 29919.75
636 198.34 -1 50 29914.75
637 198.32 -3 0 29913.75
638 198.39 -1 0 29913.75
639 198.36 -1 0 29913.75
640 198.35 3 50 29913.75
641 198.36 1 100 29914.25
642 198.38 3 150 29916.25
643 198.34 5 150 29910.25
644 198.45 -5 100 29926.75
645 198.465 1 150 29928.25
646 198.5 3 150 29933.5
647 198.44 7 150 29924.5
648 198.3 3 150 29903.5
649 198.36 1 150 29912.500000000004
650 198.53 -5 100 29938.0
651 198.68 -3 50 29953.0
652 198.66 1 100 29952.0
653 198.56 5 150 29942.0
654 198.66 3 150 29957.0
655 198.58 5 150 29945.000000000004
656 198.44 5 150 29924.0
657 198.44 -3 100 29924.0
658 198.35 -5 50 29915.0
659 198.48 -7 0 29921.5
660 198.43 -3 0 29921.5
661 198.55 -3 0 29921.5
662 198.59 1 50 29921.5
663 198.49 3 100 29916.5
664 198.5 5 150 29917.5
665 198.65 -5 100 29940.0
666 198.66 5 150 29941.0
667 198.53 5 150 29921.5
668 198.48 3 150 29914.0
669 198.45 1 150 29909.5
670 198.41 -3 100 29903.5
671 198.51 -5 50 29913.5
672 198.53 -3 0 29914.5
673 198.61 -1 0 29914.5
674 198.52 3 50 29914.5
675 198.54 3 100 29915.5
676 198.54 3 150 29915.5
677 198.54 1 150 29915.5
678 198.45 5 150 29902.0
679 198.44 -3 100 29900.5
680 198.51 -5 50 29907.5
681 198.5 -5 0 29907.0
682 198.51 -3 0 29907.0
683 198.51 -1 0 29907.0
684 198.57 1 50 29907.0
685 198.505 7 100 29903.75
686 198.42 3 150 29895.249999999996
687 198.48 -3 100 29904.25
688 198.38 1 150 29894.25
689 198.55 -7 100 29919.75
690 198.51 -3 50 29915.75
691 198.53 -1 0 29916.75
692 198.48 3 50 29916.75
693 198.45 1 100 29915.25
694 198.37 -1 50 29907.25
695 198.35 -3 0 29906.25
696 198.19 -1 0 29906.25
697 198.25 -7 0 29906.25
698 198.25 -7 0 29906.25
699 198.28 -3 0 29906.25
700 198.27 -3 0 29906.25
701 198.3 1 50 29906.25
702 198.31 3 100 29906.75
703 198.33 5 150 29908.750000000004
704 198.3 7 150 29904.25
705 198.22 3 150 29892.25
706 198.21 -1 100 29890.75
707 198.18 -3 50 29887.75
708 198.175 -7 0 29887.5
709 198.12 -7 0 29887.5
710 198.08 -9 0 29887.5
711 198.01 -9 0 29887.5
712 198.11 -7 0 29887.5
713 198.19 -3 0 29887.5
714 198.085 1 50 29887.5
715 198.14 -1 0 29890.25
716 198.15 1 50 29890.25
717 198.19 1 100 29892.25
718 198.21 3 150 29894.25
719 198.2 7 150 29892.75
720 198.27 3 150 29903.25
721 198.1 5 150 29877.75
722 198.12 3 150 29880.75
723 198.135 -1 100 29883.0
724 198.16 -3 50 29885.5
725 198.11 -1 0 29883.0
726 198.11 -3 0 29883.0
727 198.11 -5 0 29883.0
728 198.13 -3 0 29883.0
729 198.015 5 50 29883.0
730 198.02 -3 0 29883.25
731 198.1 -5 0 29883.25
732 198.07 -5 0 29883.25
733 198.065 -5 0 29883.25
734 198.08 -1 0 29883.25
735 198.1 1 50 29883.25
736 198.11 3 100 29883.75
737 198.14 3 150 29886.749999999996
738 198.21 -1 100 29897.25
739 198.25 3 150 29901.25
740 198.21 7 150 29895.25
741 198.19 5 150 29892.25
742 198.21 3 150 29895.25
743 198.23 5 150 29898.25
744 198.32 -3 100 29911.75
745 198.335 1 150 29913.25
746 198.31 7 150 29909.5
747 198.18 3 150 29890.0
748 198.16 1 150 29887.0
749 198.12 -1 100 29881.0
750 198.06 -3 50 29875.0
751 198.1 -7 0 29877.0
752 198.16 -5 0 29877.0
753 198.15 -3 0 29877.0
754 198.07 1 50 29877.0
755 198.12 -3 0 29879.5
756 198.11 -3 0 29879.5
757 198.1 -1 0 29879.5
758 198.03 3 50 29879.5
759 198.05 -5 0 29880.5
760 198.04 -7 0 29880.5
761 198.01 -7 0 29880.5
762 198.05 -7 0 29880.5
763 198.08 -3 0 29880.5
764 198.07 1 50 29880.5
765 198.08 3 100 29881.0
766 198.07 3 150 29880.0
767 198.09 3 150 29883.0
768 198.09 5 150 29883.0
769 198.14 -3 100 29890.5
770 198.14 5 150 29890.499999999996
