time stock-price decision_max decision number-of-stocks portfolio-value
570 29.965 -1 0 0 30000
571 29.965 -5 0 0 30000
572 29.995 -9 0 0 30000
573 30.015 -9 0 0 30000
574 29.47 9 0 0 30000
575 29.51 9 0 0 30000
576 29.595 9 0 0 30000
577 29.72 7 0 0 30000
578 29.79 -1 0 0 30000
579 29.815 3 0 0 30000
580 29.8 7 0 0 30000
581 29.875 -9 0 0 30000
582 29.88 1 0 0 30000
583 29.83 9 0 0 30000
584 29.895 9 0 0 30000
585 30 -1 1 0 30000
586 30.07 -9 0 0 30000
587 30.04 -9 0 0 30000
588 30.04 -3 1 0 30000.0
589 29.975 9 -1 250 30000.0
590 30.01 9 -3 499 30008.75
591 30.06 7 -1 748 30033.699999999997
592 30.135 3 1 499 30089.800000000003
593 30.12 9 3 250 30082.315
594 30.165 9 5 1 30093.565
595 30.22 9 5 0 30093.62
596 30.27 1 5 0 30093.62
597 30.3 -1 5 0 30093.62
598 30.3 -1 5 0 30093.62
599 30.34 -9 0 0 30093.62
600 30.29 -7 0 0 30093.62
601 30.25 -7 0 0 30093.62
602 30.22 3 -3 248 30093.619999999995
603 30.285 -9 0 0 30093.619999999995
604 30.165 7 3 0 30109.739999999998
605 30.185 5 -3 249 30109.739999999998
606 30.145 9 -5 498 30099.78
607 30.245 -9 0 0 30099.78
608 30.185 -7 0 0 30099.78
609 30.13 5 1 0 30149.58
610 30.115 5 -3 250 30149.58
611 30.16 -7 0 0 30149.58
612 30.08 9 -1 250 30160.83
613 30.1 9 -3 500 30165.83
614 30.16 -9 0 0 30165.83
615 30.105 3 3 0 30195.83
616 30.115 7 1 0 30195.83
617 30.11 9 1 0 30195.83
618 30.14 9 1 0 30195.83
619 30.225 -9 0 0 30195.83
620 30.21 -9 0 0 30195.83
621 30.17 3 1 0 30195.83
622 30.17 3 1 0 30195.83
623 30.15 9 -1 250 30195.83
624 30.195 9 -1 500 30207.08
625 30.2 1 1 250 30209.58
626 30.245 -9 0 0 30209.58
627 30.245 -9 0 0 30209.58
628 30.175 -7 0 0 30209.58
629 30.14 5 -1 250 30220.83
630 30.12 9 -5 500 30215.83
631 30.14 -1 -3 750 30225.83
632 30.165 -9 0 0 30225.83
633 30.14 -9 0 0 30225.83
634 30.145 -9 0 0 30225.83
635 30.085 9 -1 251 30244.58
636 30.12 1 -3 502 30253.365000000005
637 30.12 5 -1 753 30253.365000000005
638 30.12 -3 1 502 30253.365000000005
639 30.12 -3 1 251 30253.365
640 30.125 -9 0 0 30253.365
641 30.14 -7 0 0 30253.365
642 30.1 9 1 0 30254.620000000003
643 30.1 -3 -3 251 30254.620000000003
644 30.13 -9 0 0 30254.620000000003
645 30.115 -9 0 0 30254.620000000003
646 30.04 9 1 0 30262.150000000005
647 30.035 9 -5 251 30262.150000000005
648 30.09 1 -1 502 30275.955000000005
649 30.1 -7 0 0 30275.955000000005
650 30.1 -3 1 0 30280.975000000006
651 30.095 -1 1 0 30280.975000000006
652 30.105 -7 0 0 30280.975000000006
653 30.095 -9 0 0 30280.975000000006
654 30.085 -9 0 0 30280.975000000006
655 30.055 5 -1 251 30280.975000000006
656 30.04 9 -5 503 30277.210000000006
657 30.055 -3 -3 754 30284.755000000005
658 30.055 -9 0 0 30284.755000000005
659 30.035 -9 0 0 30284.755000000005
660 30.02 -9 0 0 30284.755000000005
661 29.96 3 -3 252 30284.755000000005
662 29.96 9 -5 504 30284.755000000005
663 29.96 9 -3 756 30284.75500000001
664 29.975 7 -1 1008 30296.09500000001
665 29.99 3 3 756 30311.215000000004
666 30.005 9 5 504 30322.555
667 30 9 3 252 30320.035000000003
668 30.035 9 5 0 30328.855000000003
669 30.1 -3 3 0 30328.855000000003
670 30.09 9 3 0 30328.855000000003
671 30.12 1 5 0 30328.855000000003
672 30.16 -9 0 0 30328.855000000003
673 30.14 -7 0 0 30328.855000000003
674 30.12 -9 0 0 30328.855000000003
675 30.095 9 -1 251 30328.855000000003
676 30.11 -9 0 0 30328.855000000003
677 30.095 -7 0 0 30328.855000000003
678 30.095 -9 0 0 30328.855000000003
679 30.065 -9 0 0 30328.855000000003
680 30.06 -7 0 0 30328.855000000003
681 30.025 -9 0 0 30328.855000000003
682 30 -7 0 0 30328.855000000003
683 29.995 -9 0 0 30328.855000000003
684 29.955 9 -5 253 30332.620000000003
685 29.985 -5 -3 505 30340.210000000003
686 29.945 -5 -3 758 30320.010000000006
687 29.96 -9 0 0 30320.010000000006
688 29.93 -9 0 0 30320.010000000006
689 29.815 5 -1 254 30331.380000000005
690 29.795 9 -5 508 30326.300000000003
691 29.815 5 -3 762 30336.460000000006
692 29.845 -9 0 0 30336.460000000006
693 29.825 -7 0 0 30336.460000000006
694 29.795 -7 0 0 30336.460000000006
695 29.775 -1 -3 254 30359.32
696 29.78 -7 0 0 30359.32
697 29.755 -7 0 0 30359.32
698 29.745 -7 0 0 30359.32
699 29.755 -5 -3 255 30360.590000000004
700 29.7 -5 -3 510 30346.565000000002
701 29.715 -9 0 0 30346.565000000002
702 29.695 -7 0 0 30346.565000000002
703 29.635 -9 0 0 30346.565000000002
704 29.615 -7 0 0 30346.565000000002
705 29.595 -9 0 0 30346.565000000002
706 29.545 3 -5 256 30354.215000000004
707 29.545 3 -5 512 30354.215000000004
708 29.475 9 -5 769 30318.375000000004
709 29.61 -1 -3 1024 30422.190000000002
710 29.6 1 1 768 30411.950000000004
711 29.66 -9 0 0 30411.950000000004
712 29.63 -7 0 0 30411.950000000004
713 29.595 -3 1 0 30458.030000000002
714 29.565 -7 0 0 30458.030000000002
715 29.59 -9 0 0 30458.030000000002
716 29.54 -7 0 0 30458.030000000002
717 29.42 7 -1 258 30458.030000000002
718 29.45 -9 0 0 30458.030000000002
719 29.46 -9 0 0 30458.030000000002
720 29.4 5 -3 258 30465.77
721 29.4 -1 -3 517 30465.77
722 29.4 1 -3 776 30465.77
723 29.385 7 -5 1035 30454.130000000005
724 29.335 9 -3 1035 30402.380000000005
725 29.45 3 -1 1035 30521.405000000002
726 29.49 -3 1 777 30562.805
727 29.505 -9 0 0 30562.805
728 29.5 -7 0 0 30562.805
729 29.455 1 1 0 30574.46
730 29.465 -7 0 0 30574.46
731 29.46 -9 0 0 30574.46
732 29.415 -9 0 0 30574.46
733 29.415 -9 0 0 30574.46
734 29.41 -9 0 0 30574.46
735 29.355 9 -3 260 30574.46
736 29.37 9 -3 520 30578.36
737 29.38 -1 -1 780 30583.559999999998
738 29.385 -9 0 0 30583.559999999998
739 29.39 -9 0 0 30583.559999999998
740 29.36 -9 0 0 30583.559999999998
741 29.335 -3 -1 260 30587.46
742 29.34 -9 0 0 30587.46
743 29.32 -7 0 0 30587.46
744 29.31 -9 0 0 30587.46
745 29.27 3 -5 261 30588.760000000002
746 29.28 1 -3 522 30591.370000000003
747 29.25 7 -5 783 30575.71
748 29.28 3 -3 1044 30599.2
749 29.285 7 1 783 30604.42
750 29.27 9 1 522 30592.675000000003
751 29.31 7 1 262 30613.555
752 29.345 -7 0 0 30613.555
753 29.335 1 3 0 30622.725
754 29.33 5 1 0 30622.725
755 29.37 -9 0 0 30622.725
756 29.33 1 3 0 30622.725
757 29.315 9 -1 261 30622.725
758 29.345 3 -3 521 30630.554999999997
759 29.345 3 1 261 30630.555
760 29.375 -3 3 1 30638.385
761 29.325 9 3 0 30638.335
762 29.36 9 -1 260 30638.335
763 29.44 3 -1 520 30659.135000000002
764 29.43 9 3 260 30653.934999999998
765 29.475 9 5 1 30665.635
766 29.5 9 5 0 30665.66
767 29.55 -1 5 0 30665.66
768 29.555 -9 0 0 30665.66
769 29.55 -5 3 0 30665.66
770 29.54 -9 0 0 30665.66
771 29.525 -7 0 0 30665.66
772 29.525 -9 0 0 30665.66
773 29.485 5 -3 260 30665.66
774 29.495 -9 0 0 30665.66
775 29.465 9 -5 260 30668.260000000002
776 29.48 -9 0 0 30668.260000000002
777 29.47 -5 -3 260 30672.16
778 29.46 -7 0 0 30672.16
779 29.43 -7 0 0 30672.16
780 29.455 -9 0 0 30672.16
781 29.38 -9 0 0 30672.16
782 29.36 -9 0 0 30672.16
783 29.34 -9 0 0 30672.16
784 29.3 9 -5 261 30669.559999999998
