time stock-price decision_max decision number-of-stocks portfolio-value
715 30.575 -7 0 0 29884.144999999993
716 30.55 9 -3 244 29884.144999999993
717 30.55 9 -3 488 29884.14499999999
718 30.56 7 3 244 29889.02499999999
719 30.56 7 3 0 29889.02499999999
720 30.56 7 3 0 29889.02499999999
721 30.56 7 3 0 29889.02499999999
722 30.53 9 5 0 29889.02499999999
723 30.48 9 5 0 29889.02499999999
724 30.53 5 5 0 29889.02499999999
725 30.52 5 5 0 29889.02499999999
726 30.52 5 3 0 29889.02499999999
727 30.49 9 -5 245 29889.02499999999
728 30.495 7 1 0 29890.249999999993
729 30.46 9 5 0 29890.249999999993
730 30.455 9 5 0 29890.249999999993
731 30.46 5 3 0 29890.249999999993
732 30.48 -3 1 0 29890.249999999993
733 30.48 -7 0 0 29890.249999999993
734 30.48 -7 0 0 29890.249999999993
735 30.47 3 -5 245 29890.249999999993
736 30.45 9 -1 490 29885.34999999999
737 30.45 9 -1 735 29885.34999999999
738 30.45 9 -1 980 29885.34999999999
739 30.45 9 -1 980 29885.34999999999
740 30.45 9 -1 980 29885.34999999999
741 30.46 7 3 735 29895.149999999994
742 30.46 7 3 490 29895.14999999999
743 30.46 7 3 245 29895.14999999999
744 30.47 -7 0 0 29897.59999999999
745 30.47 -7 0 0 29897.59999999999
746 30.47 -7 0 0 29897.59999999999
747 30.47 -7 0 0 29897.59999999999
748 30.43 9 3 0 29897.59999999999
749 30.43 9 3 0 29897.59999999999
750 30.42 9 5 0 29897.59999999999
751 30.39 9 5 0 29897.59999999999
752 30.395 7 5 0 29897.59999999999
753 30.405 5 3 0 29897.59999999999
754 30.405 5 3 0 29897.59999999999
755 30.405 5 3 0 29897.59999999999
756 30.405 3 1 0 29897.59999999999
757 30.41 -3 -5 245 29897.59999999999
758 30.43 -9 0 0 29902.499999999993
759 30.435 -9 0 0 29902.499999999993
760 30.48 -9 0 0 29902.499999999993
761 30.48 -9 0 0 29902.499999999993
762 30.46 -7 0 0 29902.499999999993
763 30.46 -7 0 0 29902.499999999993
764 30.44 -1 -3 245 29902.499999999993
765 30.43 9 5 0 29900.049999999996
766 30.43 9 5 0 29900.049999999996
767 30.41 9 5 0 29900.049999999996
768 30.405 9 5 0 29900.049999999996
769 30.405 9 5 0 29900.049999999996
770 30.38 9 5 0 29900.049999999996
771 30.405 5 5 0 29900.049999999996
772 30.39 7 5 0 29900.049999999996
773 30.405 -3 -5 245 29900.049999999996
774 30.4 1 -5 490 29898.824999999997
775 30.385 9 1 245 29891.475
776 30.385 9 1 0 29891.475
777 30.385 9 1 0 29891.475
778 30.43 -9 0 0 29891.475
779 30.435 -9 0 0 29891.475
780 30.42 -5 -5 245 29891.475
781 30.44 -9 0 0 29896.374999999996
782 30.44 -9 0 0 29896.374999999996
783 30.46 -9 0 0 29896.374999999996
784 30.49 -9 0 0 29896.374999999996
785 30.49 -9 0 0 29896.374999999996
786 30.475 -7 0 0 29896.374999999996
787 30.44 9 1 0 29896.374999999996
788 30.44 9 5 0 29896.374999999996
789 30.455 -1 5 0 29896.374999999996
790 30.47 -9 0 0 29896.374999999996
791 30.45 5 -1 245 29896.374999999996
792 30.45 7 -3 490 29896.374999999996
793 30.44 9 -1 735 29891.475
794 30.405 9 5 490 29865.749999999996
795 30.405 9 5 245 29865.749999999993
796 30.41 7 5 0 29866.974999999995
797 30.41 7 5 0 29866.974999999995
798 30.39 9 5 0 29866.974999999995
799 30.39 9 5 0 29866.974999999995
800 30.375 9 5 0 29866.974999999995
801 30.345 9 5 0 29866.974999999995
802 30.35 7 5 0 29866.974999999995
803 30.35 7 5 0 29866.974999999995
804 30.36 1 -1 245 29866.974999999995
805 30.34 9 -5 491 29862.074999999997
806 30.34 9 -5 737 29862.074999999993
807 30.34 9 -5 983 29862.074999999997
808 30.34 9 -3 983 29862.074999999997
809 30.34 9 -1 983 29862.074999999997
810 30.32 9 5 737 29842.414999999994
811 30.335 7 3 492 29853.469999999994
812 30.35 -9 0 0 29860.849999999995
813 30.34 -7 0 0 29860.849999999995
814 30.34 -7 0 0 29860.849999999995
815 30.35 -9 0 0 29860.849999999995
816 30.355 -9 0 0 29860.849999999995
817 30.38 -9 0 0 29860.849999999995
818 30.36 -7 0 0 29860.849999999995
819 30.365 -7 0 0 29860.849999999995
820 30.365 -7 0 0 29860.849999999995
821 30.34 9 5 0 29860.849999999995
822 30.335 9 5 0 29860.849999999995
823 30.32 9 5 0 29860.849999999995
824 30.34 3 5 0 29860.849999999995
825 30.34 3 -1 246 29860.849999999995
826 30.33 7 -1 492 29858.389999999992
827 30.33 7 -1 738 29858.389999999992
828 30.32 9 -5 984 29851.009999999995
829 30.305 9 5 738 29836.249999999996
830 30.31 7 5 492 29839.939999999995
831 30.335 -9 0 0 29852.239999999994
832 30.36 -9 0 0 29852.239999999994
833 30.32 7 -5 246 29852.239999999994
834 30.32 9 -5 492 29852.23999999999
835 30.29 9 5 246 29837.479999999992
836 30.28 9 5 0 29835.019999999993
837 30.28 9 5 0 29835.019999999993
838 30.29 5 3 0 29835.019999999993
839 30.3 1 3 0 29835.019999999993
840 30.4 -9 0 0 29835.019999999993
841 30.59 -9 0 0 29835.019999999993
842 30.565 -7 0 0 29835.019999999993
843 30.56 -5 -5 244 29835.019999999993
844 30.63 -9 0 0 29852.09999999999
845 30.73 -9 0 0 29852.09999999999
846 30.74 -9 0 0 29852.09999999999
847 30.71 -5 -5 243 29852.09999999999
848 30.53 9 5 0 29808.359999999993
849 30.53 9 5 0 29808.359999999993
850 30.53 9 5 0 29808.359999999993
851 30.51 9 5 0 29808.359999999993
852 30.54 1 -1 244 29808.359999999993
853 30.55 -1 -5 487 29810.79999999999
854 30.58 -9 0 0 29825.40999999999
855 30.56 -7 0 0 29825.40999999999
856 30.565 -7 0 0 29825.40999999999
857 30.56 -1 -3 243 29825.40999999999
858 30.58 -9 0 0 29830.269999999986
859 30.56 9 3 0 29830.269999999986
860 30.52 9 5 0 29830.269999999986
861 30.54 7 5 0 29830.269999999986
862 30.52 9 5 0 29830.269999999986
863 30.51 9 5 0 29830.269999999986
864 30.35 9 5 0 29830.269999999986
865 30.36 7 5 0 29830.269999999986
866 30.345 9 5 0 29830.269999999986
867 30.37 3 5 0 29830.269999999986
868 30.42 -9 0 0 29830.269999999986
869 30.395 -1 -5 245 29830.26999999999
870 30.44 -9 0 0 29841.294999999987
871 30.485 -9 0 0 29841.294999999987
872 30.53 -9 0 0 29841.294999999987
873 30.53 -7 0 0 29841.294999999987
874 30.505 -5 -5 244 29841.29499999999
875 30.45 9 5 0 29827.87499999999
876 30.44 9 5 0 29827.87499999999
877 30.44 9 5 0 29827.87499999999
878 30.44 9 5 0 29827.87499999999
879 30.395 9 3 0 29827.87499999999
880 30.38 9 5 0 29827.87499999999
881 30.405 5 3 0 29827.87499999999
882 30.39 7 5 0 29827.87499999999
883 30.425 -9 0 0 29827.87499999999
884 30.45 -9 0 0 29827.87499999999
885 30.43 -5 -5 245 29827.874999999985
886 30.39 9 -1 490 29818.07499999999
887 30.36 9 5 245 29803.37499999999
888 30.36 9 5 0 29803.37499999999
889 30.36 9 5 0 29803.37499999999
890 30.4 -5 5 0 29803.37499999999
891 30.43 -9 0 0 29803.37499999999
892 30.43 -7 0 0 29803.37499999999
893 30.425 -5 -5 244 29803.37499999999
894 30.41 -1 -1 489 29799.71499999999
895 30.38 9 5 244 29785.044999999984
896 30.4 7 5 0 29789.924999999985
897 30.4 7 5 0 29789.924999999985
898 30.38 9 5 0 29789.924999999985
899 30.4 1 3 0 29789.924999999985
900 30.405 -9 0 0 29789.924999999985
901 30.435 -9 0 0 29789.924999999985
902 30.435 -9 0 0 29789.924999999985
903 30.435 -9 0 0 29789.924999999985
904 30.44 -9 0 0 29789.924999999985
905 30.44 -9 0 0 29789.924999999985
906 30.43 -5 -5 244 29789.92499999998
907 30.43 -3 -5 488 29789.92499999998
908 30.43 -1 5 244 29789.92499999998
909 30.43 -1 5 0 29789.92499999998
910 30.44 -9 0 0 29789.92499999998
911 30.44 -7 0 0 29789.92499999998
912 30.49 -9 0 0 29789.92499999998
913 30.485 -7 0 0 29789.92499999998
914 30.52 -9 0 0 29789.92499999998
915 30.52 -9 0 0 29789.92499999998
916 30.52 -9 0 0 29789.92499999998
917 30.51 -7 0 0 29789.92499999998
918 30.51 -7 0 0 29789.92499999998
919 30.51 -7 0 0 29789.92499999998
920 30.59 -9 0 0 29789.92499999998
921 30.58 -7 0 0 29789.92499999998
922 30.55 -5 -3 243 29789.92499999998
923 30.57 -5 -5 486 29794.78499999998
924 30.595 -9 0 0 29806.93499999998
925 30.58 -7 0 0 29806.93499999998
926 30.58 -5 1 0 29806.93499999998
927 30.57 9 1 0 29806.93499999998
928 30.57 9 5 0 29806.93499999998
929 30.57 7 3 0 29806.93499999998
930 30.58 -9 0 0 29806.93499999998
931 30.585 -9 0 0 29806.93499999998
932 30.585 -7 0 0 29806.93499999998
933 30.57 9 -5 243 29806.934999999983
934 30.58 -3 -1 486 29809.364999999983
935 30.535 9 5 242 29787.494999999984
936 30.56 7 5 0 29793.544999999984
937 30.585 -9 0 0 29793.544999999984
938 30.575 -7 0 0 29793.544999999984
939 30.545 9 -3 243 29793.544999999984
940 30.565 -3 -3 486 29798.404999999984
941 30.57 -7 0 0 29800.834999999985
942 30.595 -9 0 0 29800.834999999985
943 30.58 -7 0 0 29800.834999999985
944 30.55 9 3 0 29800.834999999985
945 30.605 -9 0 0 29800.834999999985
946 30.595 -7 0 0 29800.834999999985
947 30.575 7 3 0 29800.834999999985
948 30.57 9 -3 243 29800.834999999985
949 30.56 9 5 0 29798.404999999984
950 30.5 9 5 0 29798.404999999984
951 30.485 9 0 0 29798.404999999984
952 30.485 9 0 0 29798.404999999984
953 30.485 7 0 0 29798.404999999984
954 30.505 1 0 0 29798.404999999984
955 30.515 -9 0 0 29798.404999999984
956 30.525 -9 0 0 29798.404999999984
957 30.5 7 0 0 29798.404999999984
958 30.49 9 0 0 29798.404999999984
959 30.49 9 0 0 29798.404999999984
960 30.49 9 5 0 29798.404999999984
