time stock-price decision_max decision number-of-stocks portfolio-value
570 195 0 0 0 30000
571 194.78 0 0 0 30000.0
572 194.89 0 0 0 30000.0
573 194.71 0 0 0 30000.0
574 194.84 0 0 0 30000.0
575 195.04 0 0 0 30000.0
576 195.15 0 0 0 30000.0
577 195.62 0 0 0 30000.0
578 195.8 0 0 0 30000.0
579 195.71 0 0 0 30000.0
580 195.87 0 0 0 30000.0
581 195.94 0 0 0 30000.0
582 195.92 0 0 0 30000.0
583 196.18 0 0 0 30000.0
584 196.34 0 0 0 30000.0
585 196.51 0 -5 0 30000.0
586 196.57 0 -5 0 30000.0
587 196.19 0 3 38 30000.0
588 196.3 0 5 76 30004.18
589 196.29 0 5 114 30003.419999999995
590 196.17 0 5 152 29989.739999999994
591 196.34 0 -1 114 30015.58
592 196.32 0 -1 76 30013.3
593 196.5 0 -5 38 30026.98
594 196.385 0 -5 0 30022.61
595 196.57 0 -5 0 30022.61
596 196.42 0 -3 0 30022.61
597 196.62 0 -3 0 30022.61
598 196.46 0 3 38 30022.61
599 196.535 0 5 76 30025.46
600 196.545 0 -5 38 30026.22
601 196.27 0 5 76 30015.770000000004
602 196.39 0 3 114 30024.89
603 196.18 0 5 152 30000.950000000004
604 196.26 0 5 152 30013.11
605 196.39 0 -5 114 30032.870000000003
606 196.21 0 5 152 30012.350000000002
607 196.11 0 1 152 29997.15
608 195.95 0 5 152 29972.829999999998
609 196.07 0 5 152 29991.07
610 196.23 0 3 152 30015.39
611 196.21 0 -5 114 30012.350000000006
612 196.31 0 -5 76 30023.75
613 196.25 0 -5 38 30019.190000000002
614 196.14 0 1 76 30015.010000000002
615 196.08 0 5 114 30010.450000000004
616 196.14 0 5 152 30017.29
617 196 0 5 152 29996.010000000002
618 196 0 5 152 29996.010000000002
619 195.84 0 5 152 29971.690000000002
620 195.94 0 5 152 29986.890000000003
621 195.92 0 3 152 29983.85
622 195.9 0 5 152 29980.81
623 195.87 0 -5 114 29976.250000000004
624 195.92 0 -3 76 29981.95
625 195.61 0 5 114 29958.390000000003
626 195.69 0 5 152 29967.510000000002
627 195.76 0 5 152 29978.149999999998
628 195.69 0 5 152 29967.510000000002
629 195.66 0 -1 114 29962.95
630 195.69 0 -3 76 29966.370000000003
631 195.63 0 5 114 29961.81
632 195.68 0 -1 76 29967.510000000002
633 195.62 0 3 114 29962.95
634 195.69 0 -1 76 29970.93
635 195.89 0 -5 38 29986.13
636 196.03 0 -5 0 29991.45
637 196 0 -5 0 29991.45
638 195.99 0 -5 0 29991.45
639 196.06 0 -3 0 29991.45
640 195.96 0 5 38 29991.45
641 195.78 0 5 76 29984.61
642 195.88 0 5 114 29992.210000000003
643 195.9 0 5 152 29994.49
644 196.04 0 -5 114 30015.77
645 196.05 0 -5 76 30016.910000000003
646 196.08 0 -5 38 30019.190000000002
647 195.95 0 -3 0 30014.25
648 195.8 0 5 38 30014.25
649 195.785 0 5 76 30013.68
650 195.86 0 5 114 30019.379999999997
651 195.69 0 5 152 30000.0
652 195.78 0 -1 114 30013.68
653 195.88 0 -5 76 30025.079999999994
654 195.85 0 -1 38 30022.799999999996
655 195.85 0 -1 0 30022.799999999996
656 195.83 0 -5 0 30022.799999999996
657 195.81 0 -3 0 30022.799999999996
658 195.7 0 5 38 30022.799999999996
659 195.7 0 5 76 30022.799999999996
660 195.9 0 -3 38 30038.0
661 195.81 0 -1 0 30034.579999999998
662 195.91 0 -5 0 30034.579999999998
663 195.75 0 -5 0 30034.579999999998
664 195.805 0 1 38 30034.579999999998
665 195.5 0 5 76 30022.989999999998
666 195.26 0 5 114 30004.75
667 195.43 0 5 152 30024.129999999997
668 195.22 0 5 152 29992.21
669 195.22 0 3 152 29992.21
670 195.4 0 -5 114 30019.57
671 195.39 0 -3 76 30018.429999999997
672 195.43 0 -5 38 30021.469999999998
673 195.47 0 -5 0 30022.989999999998
674 195.54 0 -3 0 30022.989999999998
675 195.39 0 -1 0 30022.989999999998
676 195.52 0 -5 0 30022.989999999998
677 195.38 0 5 38 30022.989999999998
678 195.4 0 5 76 30023.75
679 195.515 0 -5 38 30032.489999999998
680 195.51 0 -1 0 30032.299999999996
681 195.42 0 -3 0 30032.299999999996
682 195.36 0 1 38 30032.299999999996
683 195.34 0 5 76 30031.539999999994
684 195.23 0 5 114 30023.179999999993
685 195.32 0 5 152 30033.439999999995
686 195.4 0 -3 114 30045.6
687 195.46 0 -5 76 30052.439999999995
688 195.43 0 -5 38 30050.159999999996
689 195.38 0 -3 0 30048.259999999995
690 195.4 0 -1 0 30048.259999999995
691 195.25 0 5 38 30048.259999999995
692 195.33 0 5 76 30051.299999999996
693 195.21 0 5 114 30042.179999999997
694 195.16 0 5 152 30036.479999999992
695 195.16 0 3 152 30036.479999999992
696 195.13 0 5 152 30031.91999999999
697 195.25 0 -5 114 30050.159999999993
698 195.4 0 -5 76 30067.259999999995
699 195.48 0 -5 38 30073.33999999999
700 195.51 0 -5 0 30074.47999999999
701 195.45 0 -5 0 30074.47999999999
702 195.67 0 -5 0 30074.47999999999
703 195.56 0 1 38 30074.47999999999
704 195.64 0 -3 0 30077.51999999999
705 195.63 0 -5 0 30077.51999999999
706 195.58 0 5 38 30077.51999999999
707 195.65 0 -3 0 30080.17999999999
708 195.71 0 -3 0 30080.17999999999
709 195.74 0 -5 0 30080.17999999999
710 195.66 0 -5 0 30080.17999999999
711 195.61 0 5 38 30080.17999999999
712 195.58 0 5 76 30079.03999999999
713 195.53 0 5 114 30075.23999999999
714 195.44 0 5 152 30064.97999999999
715 195.55 0 3 152 30081.69999999999
716 195.49 0 5 152 30072.57999999999
717 195.55 0 -5 114 30081.69999999999
718 195.61 0 -5 76 30088.53999999999
719 195.66 0 -5 38 30092.33999999999
720 195.56 0 -5 0 30088.539999999986
721 195.63 0 -5 0 30088.539999999986
722 195.61 0 1 38 30088.539999999986
723 195.63 0 5 76 30089.29999999999
724 195.72 0 -5 38 30096.13999999999
725 195.77 0 -5 0 30098.039999999986
726 195.79 0 -5 0 30098.039999999986
727 195.81 0 -5 0 30098.039999999986
728 195.81 0 -3 0 30098.039999999986
729 195.64 0 5 38 30098.039999999986
730 195.64 0 5 76 30098.039999999986
731 195.64 0 5 114 30098.039999999986
732 195.6 0 5 152 30093.47999999999
733 195.5 0 3 152 30078.279999999988
734 195.51 0 5 152 30079.799999999985
735 195.57 0 1 152 30088.919999999987
736 195.53 0 5 152 30082.83999999999
737 195.45 0 1 152 30070.679999999986
738 195.45 0 1 152 30070.679999999986
739 195.51 0 1 152 30079.799999999985
740 195.45 0 5 152 30070.679999999986
741 195.26 0 5 152 30041.799999999985
742 195.41 0 1 152 30064.599999999988
743 195.34 0 5 152 30053.95999999999
744 195.45 0 -1 114 30070.679999999986
745 195.53 0 -5 76 30079.79999999999
746 195.5 0 -3 38 30077.519999999986
747 195.31 0 -1 0 30070.299999999985
748 195.28 0 5 38 30070.299999999985
749 195.24 0 5 76 30068.779999999984
750 195.24 0 5 114 30068.779999999984
751 195.25 0 1 152 30069.919999999984
752 195.32 0 -3 114 30080.559999999983
753 195.28 0 -5 76 30075.999999999985
754 195.26 0 -5 38 30074.47999999998
755 195.26 0 -3 0 30074.47999999998
756 195.31 0 1 38 30074.47999999998
757 195.31 0 1 76 30074.47999999998
758 195.33 0 -5 38 30075.999999999985
759 195.27 0 -3 0 30073.719999999987
760 195.41 0 -5 0 30073.719999999987
761 195.43 0 -5 0 30073.719999999987
762 195.42 0 -5 0 30073.719999999987
763 195.47 0 -5 0 30073.719999999987
764 195.53 0 -3 0 30073.719999999987
765 195.63 0 -5 0 30073.719999999987
766 195.54 0 -5 0 30073.719999999987
767 195.56 0 -5 0 30073.719999999987
768 195.56 0 1 38 30073.719999999987
769 195.45 0 5 76 30069.539999999986
770 195.41 0 5 114 30066.499999999985
771 195.48 0 5 152 30074.47999999999
772 195.56 0 1 152 30086.63999999999
773 195.72 0 -5 114 30110.95999999999
774 195.68 0 -5 76 30106.39999999999
775 195.69 0 -5 38 30107.159999999993
776 195.6 0 -1 0 30103.73999999999
777 195.7 0 3 38 30103.73999999999
778 195.6 0 5 76 30099.939999999995
779 195.61 0 5 114 30100.699999999993
780 195.67 0 -3 76 30107.53999999999
781 195.76 0 -3 38 30114.37999999999
782 195.72 0 -5 0 30112.859999999993
783 195.73 0 -5 0 30112.859999999993
784 195.65 0 1 38 30112.859999999993
785 195.545 0 5 76 30108.86999999999
786 195.43 0 5 114 30100.129999999994
787 195.42 0 5 152 30098.98999999999
788 195.48 0 5 152 30108.109999999993
789 195.5 0 1 152 30111.149999999994
790 195.54 0 -5 114 30117.229999999992
791 195.49 0 -5 76 30111.529999999995
792 195.44 0 -1 38 30107.729999999996
793 195.39 0 5 76 30105.829999999994
794 195.36 0 5 114 30103.549999999996
795 195.48 0 3 152 30117.229999999996
796 195.45 0 -1 114 30112.669999999995
797 195.46 0 -5 76 30113.809999999998
798 195.5 0 -5 38 30116.849999999995
799 195.47 0 -1 0 30115.709999999995
800 195.48 0 -1 0 30115.709999999995
801 195.62 0 -5 0 30115.709999999995
802 195.52 0 1 38 30115.71
803 195.52 0 -5 0 30115.71
804 195.56 0 -5 0 30115.71
805 195.43 0 5 38 30115.71
806 195.48 0 3 76 30117.61
807 195.52 0 1 114 30120.65
808 195.44 0 5 152 30111.53
809 195.48 0 -5 114 30117.609999999997
810 195.54 0 -5 76 30124.449999999997
811 195.48 0 3 114 30119.889999999996
812 195.53 0 -5 76 30125.589999999997
813 195.41 0 5 114 30116.469999999994
814 195.35 0 5 152 30109.629999999997
815 195.39 0 5 152 30115.709999999995
816 195.43 0 5 152 30121.789999999997
817 195.36 0 3 152 30111.149999999998
818 195.365 0 -3 114 30111.91
819 195.37 0 -3 76 30112.48
820 195.375 0 1 114 30112.86
821 195.39 0 -3 76 30114.57
822 195.37 0 -3 38 30113.05
823 195.32 0 5 76 30111.149999999998
824 195.33 0 5 114 30111.91
825 195.32 0 5 152 30110.769999999997
826 195.32 0 5 152 30110.769999999997
827 195.36 0 -5 114 30116.85
828 195.39 0 -5 76 30120.269999999997
829 195.39 0 -5 38 30120.269999999997
830 195.41 0 -5 0 30121.03
831 195.39 0 -3 0 30121.03
832 195.39 0 3 38 30121.03
833 195.3 0 5 76 30117.61
834 195.38 0 5 114 30123.69
835 195.31 0 5 152 30115.71
836 195.35 0 5 152 30121.79
837 195.33 0 -3 114 30118.75
838 195.35 0 -3 76 30121.03
839 195.29 0 3 114 30116.469999999998
840 195.225 0 5 152 30109.06
841 195.165 0 5 152 30099.94
842 195.22 0 5 152 30108.3
843 195.1 0 5 152 30090.06
844 195.19 0 1 152 30103.74
845 195.16 0 -5 114 30099.18
846 195.16 0 -1 76 30099.18
847 195.145 0 -5 38 30098.04
848 195.09 0 5 76 30095.949999999997
849 194.99 0 5 114 30088.35
850 195.02 0 5 152 30091.769999999997
851 195.13 0 3 152 30108.489999999998
852 195.13 0 -5 114 30108.489999999998
853 195.06 0 -5 76 30100.509999999995
854 195.1 0 -5 38 30103.549999999996
855 195.08 0 1 76 30102.789999999997
856 194.94 0 5 114 30092.149999999994
857 194.91 0 5 152 30088.729999999996
858 194.74 0 5 152 30062.89
859 194.84 0 5 152 30078.089999999997
860 194.8 0 3 152 30072.01
861 194.84 0 1 152 30078.089999999997
862 194.82 0 -5 114 30075.049999999996
863 194.88 0 -3 76 30081.889999999992
864 194.865 0 -5 38 30080.75
865 194.9 0 -5 0 30082.079999999998
866 194.895 0 -5 0 30082.079999999998
867 194.91 0 -3 0 30082.079999999998
868 194.93 0 -5 0 30082.079999999998
869 194.98 0 -5 0 30082.079999999998
870 194.9 0 3 38 30082.079999999998
871 194.81 0 5 76 30078.659999999996
872 194.87 0 5 114 30083.219999999998
873 194.83 0 5 152 30078.66
874 194.68 0 5 152 30055.859999999997
875 194.75 0 1 152 30066.499999999996
876 194.51 0 5 152 30030.019999999993
877 194.57 0 5 152 30039.139999999996
878 194.7 0 -5 114 30058.899999999994
879 194.75 0 -3 76 30064.6
880 194.72 0 -5 38 30062.319999999996
881 194.71 0 -5 0 30061.939999999995
882 194.73 0 -1 0 30061.939999999995
883 194.775 0 1 38 30061.939999999995
884 194.83 0 -5 0 30064.029999999995
885 194.65 0 5 38 30064.029999999995
886 194.69 0 5 76 30065.549999999996
887 194.65 0 5 114 30062.509999999995
888 194.69 0 5 152 30067.069999999992
889 194.7 0 -1 114 30068.589999999993
890 194.7 0 -1 76 30068.58999999999
891 194.67 0 -5 38 30066.30999999999
892 194.66 0 1 76 30065.929999999993
893 194.65 0 3 114 30065.169999999995
894 194.63 0 5 152 30062.889999999992
895 194.78 0 -5 114 30085.689999999995
896 194.74 0 -5 76 30081.129999999994
897 194.82 0 -5 38 30087.209999999992
570 195 0 0 0 30000
898 194.76 0 -5 0 30084.929999999993
571 194.78 0 0 0 30000.0
899 194.79 0 -1 0 30084.929999999993
572 194.89 0 0 0 30000.0
900 194.68 0 5 38 30084.929999999993
573 194.71 0 0 0 30000.0
901 194.72 0 5 76 30086.44999999999
574 194.84 0 0 0 30000.0
902 194.56 0 5 114 30074.289999999994
575 195.04 0 0 0 30000.0
903 194.66 0 5 152 30085.68999999999
904 194.67 0 -1 114 30087.20999999999
905 194.63 0 5 152 30082.64999999999
906 194.54 0 -1 114 30068.96999999999
907 194.52 0 5 152 30066.68999999999
908 194.5 0 5 152 30063.64999999999
909 194.5 0 5 152 30063.64999999999
910 194.59 0 -3 114 30077.329999999994
911 194.55 0 -5 76 30072.769999999993
912 194.59 0 -5 38 30075.80999999999
913 194.53 0 -5 0 30073.52999999999
914 194.46 0 5 38 30073.52999999999
915 194.27 0 5 76 30066.30999999999
916 194.24 0 5 114 30064.02999999999
917 194.32 0 5 152 30073.14999999999
918 194.275 0 5 152 30066.30999999999
919 194.22 0 -1 114 30057.94999999999
920 194.23 0 -5 76 30059.08999999999
921 194.24 0 -1 38 30059.84999999999
922 194.16 0 5 76 30056.80999999999
923 194.25 0 -5 38 30063.649999999987
924 194.37 0 -5 0 30068.20999999999
925 194.43 0 -5 0 30068.20999999999
926 194.29 0 -5 0 30068.20999999999
927 194.3 0 -3 0 30068.20999999999
928 194.36 0 1 38 30068.20999999999
929 194.4 0 5 76 30069.72999999999
930 194.39 0 -1 38 30068.969999999987
931 194.425 0 -5 0 30070.29999999999
932 194.39 0 -3 0 30070.29999999999
933 194.41 0 1 38 30070.29999999999
934 194.47 0 -5 0 30072.579999999987
935 194.47 0 -5 0 30072.579999999987
936 194.33 0 5 38 30072.579999999987
937 194.43 0 -5 0 30076.379999999986
938 194.38 0 5 38 30076.379999999986
939 194.325 0 5 76 30074.289999999986
940 194.34 0 1 114 30075.429999999993
941 194.335 0 5 152 30074.85999999999
942 194.275 0 5 152 30065.739999999987
943 194.23 0 5 152 30058.899999999987
944 194.2 0 5 152 30054.339999999986
945 194.17 0 5 152 30049.779999999984
946 194.09 0 5 152 30037.619999999988
947 194.09 0 5 152 30037.619999999988
948 193.91 0 5 152 30010.259999999987
949 193.83 0 5 152 29998.09999999999
950 193.9 0 5 152 30008.739999999987
951 193.81 0 0 0 29995.059999999987
952 193.92 0 0 0 29995.059999999987
953 194.1 0 0 0 29995.059999999987
954 194.13 0 0 0 29995.059999999987
955 193.81 0 0 0 29995.059999999987
956 193.77 0 0 0 29995.059999999987
957 193.86 0 0 0 29995.059999999987
958 193.97 0 0 0 29995.059999999987
959 194.74 0 0 0 29995.059999999987
960 194.74 0 -5 0 29995.059999999987
