time stock-price decision_max decision number-of-stocks portfolio-value
570 29.965 -1 0 0 30000
571 29.965 -5 0 0 30000
572 29.995 -9 0 0 30000
573 30.015 -9 0 0 30000
574 29.47 9 0 0 30000
575 29.51 9 0 0 30000
576 29.595 9 0 0 30000
577 29.72 7 0 0 30000
578 29.79 -1 0 0 30000
579 29.815 3 0 0 30000
580 29.8 7 0 0 30000
581 29.875 -9 0 0 30000
582 29.88 1 0 0 30000
583 29.83 9 0 0 30000
584 29.895 9 0 0 30000
585 30 -1 1 0 30000
586 30.07 -9 3 0 30000.0
587 30.04 -9 3 0 30000.0
588 30.04 -3 1 0 30000.0
589 29.975 9 -1 250 30000.0
590 30.01 9 -3 499 30008.75
591 30.06 7 -1 748 30033.699999999997
592 30.135 3 1 499 30089.800000000003
593 30.12 9 3 250 30082.315
594 30.165 9 5 1 30093.565
595 30.22 9 5 0 30093.62
596 30.27 1 5 0 30093.62
597 30.3 -1 5 0 30093.62
598 30.3 -1 5 0 30093.62
599 30.34 -9 5 0 30093.62
600 30.29 -7 3 0 30093.62
601 30.25 -7 -1 248 30093.62
602 30.22 3 -3 496 30086.18
603 30.285 -9 -1 744 30118.42
604 30.165 7 3 495 30029.14
605 30.185 5 -3 743 30039.039999999997
606 30.145 9 -5 992 30009.32
607 30.245 -9 -1 992 30108.52
608 30.185 -7 1 743 30049.0
609 30.13 5 1 494 30008.135000000002
610 30.115 5 -3 743 30000.725000000002
611 30.16 -7 -1 991 30034.160000000003
612 30.08 9 -1 991 29954.88
613 30.1 9 -3 991 29974.700000000004
614 30.16 -9 -1 991 30034.160000000003
615 30.105 3 3 742 29979.655000000002
616 30.115 7 1 494 29987.075
617 30.11 9 1 246 29984.605000000003
618 30.14 9 1 0 29991.985
619 30.225 -9 1 0 29991.985
620 30.21 -9 3 0 29991.985
621 30.17 3 1 0 29991.985
622 30.17 3 1 0 29991.985
623 30.15 9 -1 248 29991.985
624 30.195 9 -1 496 30003.144999999997
625 30.2 1 1 248 30005.624999999996
626 30.245 -9 3 0 30016.784999999996
627 30.245 -9 3 0 30016.784999999996
628 30.175 -7 1 0 30016.784999999996
629 30.14 5 -1 248 30016.784999999996
630 30.12 9 -5 497 30011.824999999997
631 30.14 -1 -3 745 30021.764999999992
632 30.165 -9 -1 993 30040.389999999992
633 30.14 -9 1 744 30015.564999999995
634 30.145 -9 1 496 30019.284999999996
635 30.085 9 -1 745 29989.524999999994
636 30.12 1 -3 993 30015.599999999995
637 30.12 5 -1 993 30015.599999999995
638 30.12 -3 1 744 30015.6
639 30.12 -3 1 495 30015.59999999999
640 30.125 -9 1 246 30018.074999999993
641 30.14 -7 3 0 30021.764999999992
642 30.1 9 1 0 30021.764999999992
643 30.1 -3 -3 249 30021.764999999992
644 30.13 -9 -1 498 30029.234999999993
645 30.115 -9 -1 747 30021.764999999992
646 30.04 9 1 498 29965.73999999999
647 30.035 9 -5 747 29963.249999999993
648 30.09 1 -1 995 30004.334999999992
649 30.1 -7 1 746 30014.284999999996
650 30.1 -3 1 497 30014.284999999996
651 30.095 -1 1 248 30011.799999999996
652 30.105 -7 1 0 30014.279999999995
653 30.095 -9 3 0 30014.279999999995
654 30.085 -9 -1 249 30014.279999999995
655 30.055 5 -1 498 30006.809999999994
656 30.04 9 -5 747 29999.339999999997
657 30.055 -3 -3 996 30010.544999999995
658 30.055 -9 -3 996 30010.544999999995
659 30.035 -9 -1 996 29990.624999999996
660 30.02 -9 -1 996 29975.684999999994
661 29.96 3 -3 996 29915.924999999996
662 29.96 9 -5 996 29915.924999999996
663 29.96 9 -3 996 29915.924999999996
664 29.975 7 -1 996 29930.864999999998
665 29.99 3 3 747 29945.804999999993
666 30.005 9 5 498 29957.009999999995
667 30 9 3 249 29954.519999999993
668 30.035 9 5 0 29963.234999999993
669 30.1 -3 3 0 29963.234999999993
670 30.09 9 3 0 29963.234999999993
671 30.12 1 5 0 29963.234999999993
672 30.16 -9 5 0 29963.234999999993
673 30.14 -7 3 0 29963.234999999993
674 30.12 -9 1 0 29963.234999999993
675 30.095 9 -1 248 29963.234999999993
676 30.11 -9 -3 496 29966.954999999994
677 30.095 -7 -3 744 29959.515
678 30.095 -9 -5 992 29959.514999999996
679 30.065 -9 -1 992 29929.754999999997
680 30.06 -7 -5 992 29924.795
681 30.025 -9 -5 992 29890.074999999997
682 30 -7 -5 992 29865.274999999998
683 29.995 -9 -5 992 29860.315
684 29.955 9 -5 992 29820.634999999995
685 29.985 -5 -3 992 29850.394999999997
686 29.945 -5 -3 992 29810.714999999997
687 29.96 -9 -3 992 29825.594999999998
688 29.93 -9 -1 992 29795.835
689 29.815 5 -1 992 29681.754999999997
690 29.795 9 -5 992 29661.915
691 29.815 5 -3 992 29681.754999999997
692 29.845 -9 -1 992 29711.514999999996
693 29.825 -7 1 743 29691.674999999996
694 29.795 -7 1 494 29669.385000000002
695 29.775 -1 -3 743 29659.505
696 29.78 -7 -3 991 29663.219999999998
697 29.755 -7 -5 991 29638.444999999996
698 29.745 -7 -5 991 29628.535
699 29.755 -5 -3 991 29638.444999999996
700 29.7 -5 -3 991 29583.94
701 29.715 -9 -3 991 29598.804999999997
702 29.695 -7 -3 991 29578.984999999997
703 29.635 -9 -3 991 29519.524999999998
704 29.615 -7 -5 991 29499.704999999998
705 29.595 -9 -5 991 29479.885
706 29.545 3 -5 991 29430.335
707 29.545 3 -5 991 29430.335
708 29.475 9 -5 991 29360.965
709 29.61 -1 -3 991 29494.749999999996
710 29.6 1 1 742 29484.84
711 29.66 -9 5 494 29529.36
712 29.63 -7 3 245 29514.539999999997
713 29.595 -3 1 0 29505.964999999997
714 29.565 -7 -1 249 29505.964999999997
715 29.59 -9 -3 498 29512.189999999995
716 29.54 -7 -5 747 29487.289999999997
717 29.42 7 -1 997 29397.649999999998
718 29.45 -9 -3 997 29427.559999999994
719 29.46 -9 -1 997 29437.53
720 29.4 5 -3 997 29377.709999999995
721 29.4 -1 -3 997 29377.709999999995
722 29.4 1 -3 997 29377.709999999995
723 29.385 7 -5 997 29362.754999999997
724 29.335 9 -3 997 29312.905
725 29.45 3 -1 997 29427.559999999994
726 29.49 -3 1 748 29467.439999999995
727 29.505 -9 5 499 29478.659999999993
728 29.5 -7 3 250 29476.164999999994
729 29.455 1 1 0 29464.914999999994
730 29.465 -7 -1 249 29464.914999999994
731 29.46 -9 -3 499 29463.669999999995
732 29.415 -9 -3 749 29441.214999999993
733 29.415 -9 -3 999 29441.214999999993
734 29.41 -9 -5 999 29436.219999999994
735 29.355 9 -3 999 29381.274999999994
736 29.37 9 -3 999 29396.259999999995
737 29.38 -1 -1 999 29406.249999999993
738 29.385 -9 1 749 29411.244999999995
739 29.39 -9 3 499 29414.989999999994
740 29.36 -9 1 249 29400.019999999993
741 29.335 -3 -1 499 29393.794999999995
742 29.34 -9 -3 749 29396.289999999994
743 29.32 -7 -5 999 29381.309999999994
744 29.31 -9 -5 999 29371.319999999992
745 29.27 3 -5 999 29331.359999999993
746 29.28 1 -3 999 29341.349999999995
747 29.25 7 -5 999 29311.379999999994
748 29.28 3 -3 999 29341.349999999995
749 29.285 7 1 749 29346.344999999994
750 29.27 9 1 499 29335.109999999993
751 29.31 7 1 249 29355.069999999992
752 29.345 -7 1 0 29363.784999999993
753 29.335 1 3 0 29363.784999999993
754 29.33 5 1 0 29363.784999999993
755 29.37 -9 1 0 29363.784999999993
756 29.33 1 3 0 29363.784999999993
757 29.315 9 -1 250 29363.784999999993
758 29.345 3 -3 500 29371.284999999993
759 29.345 3 1 250 29371.284999999993
760 29.375 -3 3 1 29378.784999999993
761 29.325 9 3 0 29378.734999999993
762 29.36 9 -1 250 29378.734999999993
763 29.44 3 -1 499 29398.734999999993
764 29.43 9 3 250 29393.74499999999
765 29.475 9 5 1 29404.99499999999
766 29.5 9 5 0 29405.019999999993
767 29.55 -1 5 0 29405.019999999993
768 29.555 -9 5 0 29405.019999999993
769 29.55 -5 3 0 29405.019999999993
770 29.54 -9 -1 248 29405.01999999999
771 29.525 -7 -3 496 29401.29999999999
772 29.525 -9 -5 744 29401.29999999999
773 29.485 5 -3 993 29371.53999999999
774 29.495 -9 -3 993 29381.46999999999
