time-hour time-minute stock-price avg-price-3-min avg-price-5-min 90th-percentile-volume current-volume number-of-stocks portfolio-value
14 30 194.74 194.32750000000001 194.03000000000003 2815.8000000000015 13864 0 1000246
14 31 191.48 192.91750000000002 193.56400000000002 2877.600000000002 9006 0 1000273
14 32 191.88 192.495 193.186 2970.6000000000013 5183 0 1000273
14 33 191.68 191.68 192.75000000000003 2970.6000000000013 2907 0 1000273
14 34 191.61 191.695 192.27800000000002 2970.6000000000013 1630 0 1000273
14 35 191.34 191.4925 191.598 2970.6000000000013 1816 0 1000273
14 36 190.71 191.09250000000003 191.44400000000002 3033.7000000000007 5328 0 1000273
14 37 190.62 190.8225 191.192 3068.3 3483 0 1000273
14 38 190.5 190.5825 190.956 3120.3000000000093 11116 0 1000273
14 39 190.68 190.62 190.76999999999998 3499.0000000000036 4081 49 1000269.97
14 40 190.84 190.715 190.67000000000002 3499.0000000000036 2833 0 1000288.1
14 41 190.68 190.72 190.66400000000002 3499.0000000000036 2544 0 1000288.1
14 42 191.02 190.89 190.744 3120.3000000000093 2268 0 1000288.1
14 43 190.9 190.875 190.824 3120.3000000000093 1908 0 1000288.1
14 44 191.02 190.99 190.89200000000002 3120.3000000000093 2215 150 1000294.1
14 45 190.97 190.965 190.918 3120.3000000000093 1156 0 1000301.6
14 46 191.21 191.10250000000002 191.024 3120.3000000000093 1818 150 1000298.6
14 47 191.28 191.185 191.076 3120.3000000000093 2604 300 1000300.1
14 48 191.34 191.29250000000002 191.16400000000002 3120.3000000000093 2600 450 1000324.1
14 49 191.34 191.325 191.228 3120.3000000000093 2561 450 1000274.6
14 50 191.2 191.26999999999998 191.274 3120.3000000000093 1315 450 1000211.6
14 51 191.32 191.295 191.29600000000002 3068.3 1721 450 1000270.1
14 52 191.21 191.235 191.28200000000004 3068.3 2103 450 1000189.1
14 53 191.17 191.21749999999997 191.24800000000002 3068.3 1524 0 1000202.6
14 54 191.05 191.12 191.19000000000003 3068.3 2205 0 1000202.6
14 55 191 191.055 191.15000000000003 3068.3 2955 0 1000202.6
14 56 190.87 190.9475 191.06000000000003 3068.3 2708 0 1000202.6
14 57 190.92 190.9275 191.002 3068.3 1678 0 1000202.6
14 58 190.97 190.9325 190.962 3068.3 2555 0 1000202.6
14 59 190.73 190.83749999999998 190.89800000000002 3068.3 1869 0 1000202.6
